method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,grid/test/bent/000.png,1,abnormal_normal,32x32,10,1008,0.012542104644198266,0.002016517519950867,0.0063255950808525085,0.010661989450454712,0.016191773116588593,0.029069410264492036,0.0,0.07013952732086182
A1_G,0,grid/test/bent/000.png,1,defect,32x32,10,16,0.01703069917857647,0.005406439304351807,0.009619265794754028,0.017751425504684448,0.024211376905441284,0.02740040421485901,0.0037488341331481934,0.03203105926513672
A1_G,0,grid/test/bent/000.png,1,clean_defect,32x32,10,6,0.016282205780347187,0.0068403854966163635,0.011438511312007904,0.017751425504684448,0.020218119025230408,0.024615123867988586,0.005958974361419678,0.025856852531433105
A1_G,0,grid/test/bent/000.png,1,boundary,32x32,10,10,0.017479795217514037,0.0053332015872001644,0.009996011853218079,0.01838342845439911,0.024420887231826782,0.02917917370796203,0.0037488341331481934,0.03203105926513672
A1_G,1,grid/test/bent/001.png,1,abnormal_normal,32x32,10,1009,0.011933488138130801,0.0011527657508850098,0.005263030529022217,0.010099351406097412,0.01600244641304016,0.02788757085800171,0.0,0.0964651107788086
A1_G,1,grid/test/bent/001.png,1,defect,32x32,10,15,0.014339053630828857,0.0068677812814712524,0.009870827198028564,0.012805044651031494,0.01603001356124878,0.025920623540878287,0.0066225528717041016,0.03268617391586304
A1_G,1,grid/test/bent/001.png,1,clean_defect,32x32,10,5,0.01228291392326355,0.007076394557952881,0.0074904561042785645,0.010213524103164673,0.01371660828590393,0.021160203218460082,0.00697287917137146,0.02302110195159912
A1_G,1,grid/test/bent/001.png,1,boundary,32x32,10,10,0.01536712348461151,0.007930062711238861,0.011699691414833069,0.013568282127380371,0.0161362886428833,0.027710327506065356,0.0066225528717041016,0.03268617391586304
A1_G,2,grid/test/bent/002.png,1,abnormal_normal,32x32,13,1009,0.012175008521680198,0.0010093629360198979,0.0056185126304626465,0.010409504175186157,0.01660597324371338,0.030128026008605948,0.0,0.05612581968307495
A1_G,2,grid/test/bent/002.png,1,defect,32x32,13,15,0.015658936897913613,0.007266420125961304,0.011441513895988464,0.013859450817108154,0.020642101764678955,0.026278004050254822,0.0032040774822235107,0.026717454195022583
A1_G,2,grid/test/bent/002.png,1,clean_defect,32x32,13,2,0.009629160165786743,0.003846585750579834,0.006416618824005127,0.009629160165786743,0.01284170150756836,0.015411734580993652,0.0032040774822235107,0.016054242849349976
A1_G,2,grid/test/bent/002.png,1,boundary,32x32,13,13,0.016586594856702365,0.009991616010665894,0.011475473642349243,0.013859450817108154,0.020667582750320435,0.026340782642364502,0.009007424116134644,0.026717454195022583
A1_G,3,grid/test/bent/003.png,1,abnormal_normal,32x32,24,994,0.011312763725727856,0.0013571381568908694,0.005229584872722626,0.009584203362464905,0.015243344008922577,0.027583400905132272,0.0,0.0620308518409729
A1_G,3,grid/test/bent/003.png,1,defect,32x32,24,30,0.010652077198028565,0.003646691143512726,0.006911754608154297,0.010119199752807617,0.013209901750087738,0.01959596872329711,0.0029270946979522705,0.023590892553329468
A1_G,3,grid/test/bent/003.png,1,clean_defect,32x32,24,6,0.009792481859525045,0.0032913461327552795,0.005592130124568939,0.009983405470848083,0.012739807367324829,0.016906224191188812,0.0029270946979522705,0.018074005842208862
A1_G,3,grid/test/bent/003.png,1,boundary,32x32,24,24,0.010866976032654444,0.004188752174377442,0.007674574851989746,0.010119199752807617,0.012866027653217316,0.020312762260437003,0.0034608542919158936,0.023590892553329468
A1_G,4,grid/test/bent/004.png,1,abnormal_normal,32x32,18,999,0.012483619563691728,0.0016787886619567872,0.00612330436706543,0.010335206985473633,0.016882777214050293,0.03031490445137021,0.0,0.06104898452758789
A1_G,4,grid/test/bent/004.png,1,defect,32x32,18,25,0.012549926042556763,0.00386112928390503,0.009088188409805298,0.012301385402679443,0.016416609287261963,0.01865832209587097,0.001127004623413086,0.024164319038391113
