method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,hazelnut/test/crack/000.png,1,abnormal_normal,32x32,27,931,0.011730352962823739,0.00035500526428222656,0.00348488986492157,0.007971346378326416,0.016259685158729553,0.035616904497146606,0.0,0.07698586583137512
A1_G,0,hazelnut/test/crack/000.png,1,defect,32x32,27,93,0.01694380403846823,0.001903021335601808,0.007158488035202026,0.01575806736946106,0.022042125463485718,0.03699440360069274,0.0,0.054596126079559326
A1_G,0,hazelnut/test/crack/000.png,1,clean_defect,32x32,27,66,0.017454491420225662,0.002922952175140381,0.00916910171508789,0.016874760389328003,0.022744253277778625,0.03593463450670242,0.0,0.054596126079559326
A1_G,0,hazelnut/test/crack/000.png,1,boundary,32x32,27,27,0.015695457105283386,0.0016175448894500733,0.005376338958740234,0.015521645545959473,0.020098835229873657,0.04160362184047699,0.0,0.04753449559211731
A1_G,1,hazelnut/test/crack/001.png,1,abnormal_normal,32x32,28,931,0.009866773666039701,0.0001292973756790161,0.0027365684509277344,0.007030695676803589,0.013726234436035156,0.027472034096717834,0.0,0.12819555401802063
A1_G,1,hazelnut/test/crack/001.png,1,defect,32x32,28,93,0.014033782225783152,0.0,0.0050172507762908936,0.013653725385665894,0.02005407214164734,0.03471360206604003,0.0,0.04431191086769104
A1_G,1,hazelnut/test/crack/001.png,1,clean_defect,32x32,28,65,0.013315428678806012,0.0,0.0042937397956848145,0.012218356132507324,0.018781930208206177,0.03350824117660522,0.0,0.04431191086769104
A1_G,1,hazelnut/test/crack/001.png,1,boundary,32x32,28,28,0.015701388674122945,0.001512141525745392,0.007729873061180115,0.014909237623214722,0.02197641134262085,0.034568779170513146,0.0006872415542602539,0.04136335849761963
A1_G,2,hazelnut/test/crack/002.png,1,abnormal_normal,32x32,40,978,0.010000098915675423,4.703700542449951e-05,0.002500385046005249,0.0069068968296051025,0.014146871864795685,0.03042769730091095,0.0,0.0875379741191864
A1_G,2,hazelnut/test/crack/002.png,1,defect,32x32,40,46,0.018288279357163803,0.004739299416542053,0.010099649429321289,0.01683121919631958,0.024474091827869415,0.03595148026943207,0.0013852119445800781,0.04322001338005066
A1_G,2,hazelnut/test/crack/002.png,1,clean_defect,32x32,40,6,0.008366147677103678,0.0017151087522506714,0.003601081669330597,0.007808253169059753,0.011952236294746399,0.016454048454761505,0.0013852119445800781,0.017662912607192993
A1_G,2,hazelnut/test/crack/002.png,1,boundary,32x32,40,40,0.019776599109172822,0.005148771405220032,0.012105666100978851,0.019306018948554993,0.026264429092407227,0.0366398438811302,0.004657149314880371,0.04322001338005066
A1_G,3,hazelnut/test/crack/003.png,1,abnormal_normal,32x32,33,971,0.011550548546837238,0.0005533099174499512,0.003475680947303772,0.008453071117401123,0.016416609287261963,0.032372623682022095,0.0,0.09777659177780151
A1_G,3,hazelnut/test/crack/003.png,1,defect,32x32,33,53,0.019162752718295692,0.003147602081298828,0.009127557277679443,0.017464637756347656,0.02708357572555542,0.03807729482650757,0.0,0.041481584310531616
A1_G,3,hazelnut/test/crack/003.png,1,clean_defect,32x32,33,20,0.021824257075786592,0.008092831075191499,0.01505851000547409,0.021956726908683777,0.028102479875087738,0.0354739397764206,0.004631012678146362,0.040531009435653687
A1_G,3,hazelnut/test/crack/003.png,1,boundary,32x32,33,33,0.017549719774361813,0.0030795931816101074,0.008080124855041504,0.014228522777557373,0.02607056498527527,0.03807729482650757,0.0,0.041481584310531616
A1_G,4,hazelnut/test/crack/004.png,1,abnormal_normal,32x32,12,983,0.01036009917060332,8.567273616790783e-05,0.002685248851776123,0.006670057773590088,0.013962209224700928,0.0329318344593048,0.0,0.08187219500541687
A1_G,4,hazelnut/test/crack/004.png,1,defect,32x32,12,41,0.005994234143233881,0.0,0.0,0.0038874447345733643,0.011307388544082642,0.017696499824523926,0.0,0.020414799451828003
A1_G,4,hazelnut/test/crack/004.png,1,clean_defect,32x32,12,29,0.0046620122317610115,0.0,0.0,0.0013984143733978271,0.008432954549789429,0.015203154087066644,0.0,0.020414799451828003
A1_G,4,hazelnut/test/crack/004.png,1,boundary,32x32,12,12,0.009213770429293314,0.0008458882570266725,0.002234615385532379,0.009648218750953674,0.015628762543201447,0.0182546004652977,0.0,0.018936723470687866
A1_G,5,hazelnut/test/crack/005.png,1,abnormal_normal,32x32,31,979,0.01069540488585997,0.0004782557487487794,0.0029951930046081543,0.007668823003768921,0.014983326196670532,0.03194177448749542,0.0,0.09656417369842529
A1_G,5,hazelnut/test/crack/005.png,1,defect,32x32,31,45,0.022800992594824897,0.0036394953727722167,0.011934667825698853,0.02247452735900879,0.03218597173690796,0.05344504714012143,0.0,0.05797508358955383
A1_G,5,hazelnut/test/crack/005.png,1,clean_defect,32x32,31,14,0.02268735638686589,0.004353804886341095,0.013453848659992218,0.022099435329437256,0.03243051469326019,0.03933478146791458,0.0036275088787078857,0.039375364780426025
A1_G,5,hazelnut/test/crack/005.png,1,boundary,32x32,31,31,0.022852312172612837,0.0031681954860687256,0.01025564968585968,0.02247452735900879,0.03169398009777069,0.056362494826316833,0.0,0.05797508358955383
A1_G,6,hazelnut/test/crack/006.png,1,abnormal_normal,32x32,31,955,0.010825596773187528,0.0002853423357009888,0.0028100162744522095,0.007342010736465454,0.015534386038780212,0.030875715613365166,0.0,0.09020388126373291
A1_G,6,hazelnut/test/crack/006.png,1,defect,32x32,31,69,0.013072791306868843,0.0,0.003082752227783203,0.012278079986572266,0.02034512162208557,0.03394648432731628,0.0,0.04207044839859009
