method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,pill/test/color/000.png,1,abnormal_normal,32x32,2,1021,0.013430744117667696,0.0,0.0024680495262145996,0.008252054452896118,0.019015610218048096,0.04494929313659668,0.0,0.11570513248443604
A1_G,0,pill/test/color/000.png,1,defect,32x32,2,3,0.019226431846618652,0.010436123609542847,0.011415809392929077,0.012640416622161865,0.023744046688079834,0.0326269507408142,0.010191202163696289,0.0348476767539978
A1_G,0,pill/test/color/000.png,1,clean_defect,32x32,2,1,0.012640416622161865,0.012640416622161865,0.012640416622161865,0.012640416622161865,0.012640416622161865,0.012640416622161865,0.012640416622161865,0.012640416622161865
A1_G,0,pill/test/color/000.png,1,boundary,32x32,2,2,0.022519439458847046,0.011424025893211365,0.016355320811271667,0.022519439458847046,0.028683558106422424,0.03361485302448273,0.010191202163696289,0.0348476767539978
A1_G,1,pill/test/color/001.png,1,abnormal_normal,32x32,14,1007,0.012096383454427937,0.0,0.002116486430168152,0.007379859685897827,0.017013803124427795,0.04182803928852081,0.0,0.0851941704750061
A1_G,1,pill/test/color/001.png,1,defect,32x32,14,17,0.01828357402016135,0.006029838323593139,0.01036420464515686,0.014355570077896118,0.023214995861053467,0.035941159725189194,0.0038313567638397217,0.05239349603652954
A1_G,1,pill/test/color/001.png,1,clean_defect,32x32,14,3,0.011279126008351644,0.007211747765541077,0.009740903973579407,0.01290234923362732,0.013628959655761719,0.014210247993469238,0.006579458713531494,0.014355570077896118
A1_G,1,pill/test/color/001.png,1,boundary,32x32,14,14,0.019784527165549144,0.006309089064598083,0.010901741683483124,0.018753111362457275,0.02332429587841034,0.03902597278356551,0.0038313567638397217,0.05239349603652954
A1_G,2,pill/test/color/002.png,1,abnormal_normal,32x32,19,1004,0.012561711716461942,0.0,0.00204332172870636,0.007832318544387817,0.018194429576396942,0.043046841025352396,0.0,0.09726905822753906
A1_G,2,pill/test/color/002.png,1,defect,32x32,19,20,0.016899622976779938,0.0,0.0031018778681755066,0.0080803781747818,0.025518298149108887,0.04678369760513307,0.0,0.0612010657787323
A1_G,2,pill/test/color/002.png,1,clean_defect,32x32,19,1,0.0006207525730133057,0.0006207525730133057,0.0006207525730133057,0.0006207525730133057,0.0006207525730133057,0.0006207525730133057,0.0006207525730133057,0.0006207525730133057
A1_G,2,pill/test/color/002.png,1,boundary,32x32,19,19,0.01775640562960976,0.0,0.0035107433795928955,0.008081316947937012,0.027206629514694214,0.04754250645637509,0.0,0.0612010657787323
