dataset,category,seed,grid,n_query,n_ref,dim,query_sha256,ref_sha256,ref_shape,query_encoded,ref_encoded,reused,query_seconds,ref_seconds,query_shape,features_dir,created_utc
btad,01,0,"[32, 32]",70,8,576,f97813a1ec07e605f475141476297bb187bad3b368cd3d186a3ad468dcf2fa66,6ffa9e216646c51bdcb6d2d7116fb43340e973aea55a37f29cce36c2d123f774,"[8, 32, 32, 576]",False,False,True,,,"[70, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:18.272013+00:00
btad,01,1,"[32, 32]",70,8,576,f97813a1ec07e605f475141476297bb187bad3b368cd3d186a3ad468dcf2fa66,79fbf4ba86059969a65520944c68944133d222aeecf74603a29101f96af30a39,"[8, 32, 32, 576]",False,False,True,,,"[70, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:19.034908+00:00
btad,02,0,"[32, 32]",230,8,576,54901068e01ce019e1c9c1a8bed5f4d712fd3d1ed932485436eb29075832d77d,2c2c5693e1391f77444147b0eddb8db3eaef8783a6f83cb3d4aefd40e46fc075,"[8, 32, 32, 576]",False,False,True,,,"[230, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:24.191540+00:00
btad,02,1,"[32, 32]",230,8,576,54901068e01ce019e1c9c1a8bed5f4d712fd3d1ed932485436eb29075832d77d,e1da41fcf02fefdfc2058cb4251ce6cd05e56584fe399b2e1c40e3a1338417cb,"[8, 32, 32, 576]",False,False,True,,,"[230, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:26.919172+00:00
btad,03,0,"[32, 42]",441,8,576,49a8dd708e3e8f4a9885a512a9f7f36b16eab974a19f74439e00a6805dc72aa3,b3e4569b9910ea4c06d7ae0902f2a10795ec05f45f57c2b8984568959330f970,"[8, 32, 42, 576]",False,False,True,,,"[441, 32, 42, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:31.379233+00:00
btad,03,1,"[32, 42]",441,8,576,49a8dd708e3e8f4a9885a512a9f7f36b16eab974a19f74439e00a6805dc72aa3,b0404954fbbc21b74e4392627be7dd4cc2915a9b301f3824e64299758096e17d,"[8, 32, 42, 576]",False,False,True,,,"[441, 32, 42, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:35.990181+00:00
mpdd,bracket_black,0,"[32, 32]",79,8,576,a544b41cd35553b3adf9060f47d051c559657892c5db4a0d34a1437f1a69794d,836a9565587fc23268d0f90c8b0a229c56f402b06ff7173e6cbe2baf2978328e,"[8, 32, 32, 576]",False,False,True,,,"[79, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:36.652121+00:00
mpdd,bracket_black,1,"[32, 32]",79,8,576,a544b41cd35553b3adf9060f47d051c559657892c5db4a0d34a1437f1a69794d,8546f5a41ff9b4711dca01a68743fe4fc5ca0aba39f9b02eec1a15e6b0121d92,"[8, 32, 32, 576]",False,False,True,,,"[79, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:37.363787+00:00
mpdd,bracket_brown,0,"[32, 32]",77,8,576,c11cf1ea939c29cb028d035ef6e0042a4dbb7202f21aea0a5d2e3572912bf797,f02d7bc658d04adea46c410c51be1e9bb92f8943b8e5294e955f5336fc73995f,"[8, 32, 32, 576]",False,False,True,,,"[77, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:38.108839+00:00
mpdd,bracket_brown,1,"[32, 32]",77,8,576,c11cf1ea939c29cb028d035ef6e0042a4dbb7202f21aea0a5d2e3572912bf797,cc2003172e68d3a43cd7a783c1a7675875393290151eadacb5a49a26f9bfaa17,"[8, 32, 32, 576]",False,False,True,,,"[77, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:38.794587+00:00
mpdd,bracket_white,0,"[32, 32]",60,8,576,891e94eaed2e493a5dec08718b281881b987ee0ad58d84aa1b20ea9795985e5f,a15aed3c20f798834ece64eb08c02ffb710df75ae1b1d50aa783610146a49e59,"[8, 32, 32, 576]",False,False,True,,,"[60, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:39.372477+00:00
mpdd,bracket_white,1,"[32, 32]",60,8,576,891e94eaed2e493a5dec08718b281881b987ee0ad58d84aa1b20ea9795985e5f,87ccd026e5220c7a5ee6c11b35195b34f3531ebc8d228d5dc8f9e3fb0665c2dd,"[8, 32, 32, 576]",False,False,True,,,"[60, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:39.858845+00:00
mpdd,connector,0,"[32, 32]",44,8,576,e0ae90c98024475a5a7f95b5bf70ff7525981e72b8b71af0108f6008955283e6,097d1c8e6954078504ac90b858aa9a8e412807e5754a24b45a2efd93afecd495,"[8, 32, 32, 576]",False,False,True,,,"[44, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:40.246715+00:00
mpdd,connector,1,"[32, 32]",44,8,576,e0ae90c98024475a5a7f95b5bf70ff7525981e72b8b71af0108f6008955283e6,4147350892ebee9a9b4d62bf524ab23d2fd6e63edc975932fc9323a1c0c8347d,"[8, 32, 32, 576]",False,False,True,,,"[44, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:40.664716+00:00
mpdd,metal_plate,0,"[32, 32]",97,8,576,4cde7047ecf4a6ffae2b15b52a840dd63f7269231d130a297bbec3f737188c53,1b3d954bff73d08408e1f126bc36f3e7c0a9c94ddb0b3ac80e9493d35d52e1d9,"[8, 32, 32, 576]",False,False,True,,,"[97, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:41.500512+00:00
mpdd,metal_plate,1,"[32, 32]",97,8,576,4cde7047ecf4a6ffae2b15b52a840dd63f7269231d130a297bbec3f737188c53,a68c3604bc823182ef05d4651154322d10f364223cb9f7d4a3e8e28182382e59,"[8, 32, 32, 576]",False,False,True,,,"[97, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:42.313955+00:00
mpdd,tubes,0,"[32, 32]",101,8,576,25a8649ec265cb170231347378f22e199dfffe43a1d333e313e85f8f30f54be6,85dfe527da13e1716b6f940f2348c9e09711826d7fde851b659c64f26872b0c2,"[8, 32, 32, 576]",False,False,True,,,"[101, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:43.105218+00:00
mpdd,tubes,1,"[32, 32]",101,8,576,25a8649ec265cb170231347378f22e199dfffe43a1d333e313e85f8f30f54be6,7bf91bb37b2833b8e6735d4991b1de369d5724e51338b5769c0da0b5a547c02b,"[8, 32, 32, 576]",False,False,True,,,"[101, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T01:26:44.098966+00:00
