dataset,evaluation_revision,metric,contrast,encoder,encoder_key,comparison,n_conditions,conditions,s_mean,encoder_mean,difference_mean,difference_ci95_low,difference_ci95_high,difference_ci9875_low,difference_ci9875_high,difference_ci95_excludes_zero,difference_ci9875_excludes_zero,pairing
mpdd,study,pixel_ap,I_TRI,D (WideResNet50-2),D,I_TRI_D - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.006948775004053959,0.01020447401959265,0.00325569901553869,-0.001928553579893591,0.00933531101405887,-0.002964437152950343,0.011183909973609896,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_TRI,E1 (DINO deiT-small/8),E1,I_TRI_E - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.006948775004053959,0.008113675420906588,0.0011649004168526292,-0.004312868416543777,0.007159080018058103,-0.0063114581383102745,0.008999561818275542,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_TRI,E2 (ConvNeXt-Tiny),E2,I_TRI_E - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.006948775004053959,-0.00017535814658874044,-0.007124133150642701,-0.010902881967632323,-0.0024460615988879547,-0.012642824986089913,-0.0017885759880917243,True,True,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_TRI,E3 (Swin-Tiny),E3,I_TRI_E - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.006948775004053959,0.01252982006246349,0.005581045058409529,0.00037537344984969967,0.01097211937137836,-0.0004483966881594637,0.012526198013557994,True,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_BAL,D (WideResNet50-2),D,I_BAL_D - I_BAL,4,s0k1;s0k4;s1k1;s1k4,0.00546955397656201,0.0068585612151054855,0.0013890072385434747,-0.002764388244653583,0.0065024637352281995,-0.003720766207940008,0.00805543985422599,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_BAL,E1 (DINO deiT-small/8),E1,I_BAL_E - I_BAL,4,s0k1;s0k4;s1k1;s1k4,0.00546955397656201,0.0048840719198802365,-0.0005854820566817738,-0.0059131610649651506,0.0044515861871125785,-0.007465926448930359,0.0065337822647838365,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_BAL,E2 (ConvNeXt-Tiny),E2,I_BAL_E - I_BAL,4,s0k1;s0k4;s1k1;s1k4,0.00546955397656201,0.0007627135778202334,-0.004706840398741777,-0.008057367156420766,-0.0010259077498590728,-0.008985007609777251,0.000348045289369223,True,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_BAL,E3 (Swin-Tiny),E3,I_BAL_E - I_BAL,4,s0k1;s0k4;s1k1;s1k4,0.00546955397656201,0.007447116903062729,0.0019775629265007186,-0.002546102087291484,0.00641791078081446,-0.003764964759571828,0.007550555880783013,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
btad,corrected,pixel_ap,I_TRI,D (WideResNet50-2),D,I_TRI_D - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.00028696155145998924,0.006314626223621986,0.006027664672161995,0.0032594584821576964,0.008756405067387429,0.0025534246245762096,0.009449898315319479,True,True,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
btad,corrected,pixel_ap,I_TRI,E1 (DINO deiT-small/8),E1,I_TRI_E - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.00028696155145998924,0.005834671569327225,0.0055477100178672354,0.0026211703400861788,0.008758389054731192,0.001498161169729989,0.00964995914666714,True,True,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
