shot,method,region,n_rows,mean_of_means,max_of_means,mean_of_p95,max_of_p95,note
2,A1_G,abnormal_normal,282,0.010113117342887029,0.013060645692230505,0.031956757985531,0.045465058088302535,region values are 32x32 patch diagnostics; not a full-pixel claim
2,A1_G,boundary,282,0.016469488437707572,0.05543352365493774,0.03361520714899326,0.09512798488140103,region values are 32x32 patch diagnostics; not a full-pixel claim
2,A1_G,clean_defect,226,0.0191682342771584,0.0684637725353241,0.03441862020872335,0.07915180921554565,region values are 32x32 patch diagnostics; not a full-pixel claim
2,A1_G,defect,282,0.01875267380677288,0.05543352365493774,0.038415902985114575,0.09286174178123473,region values are 32x32 patch diagnostics; not a full-pixel claim
2,A1_G,normal_image,176,0.010375430522055301,0.014063921116758138,0.03310714675621551,0.042999252676963765,region values are 32x32 patch diagnostics; not a full-pixel claim
2,BAL_G,abnormal_normal,282,0.013119086496253839,0.016279522801170874,0.03543467211226621,0.04863758683204651,region values are 32x32 patch diagnostics; not a full-pixel claim
2,BAL_G,boundary,282,0.02029480589434556,0.060090473294258116,0.03763445427390277,0.07270742580294609,region values are 32x32 patch diagnostics; not a full-pixel claim
2,BAL_G,clean_defect,226,0.021872248095563134,0.06902661919593811,0.03750831205233009,0.0893364354968071,region values are 32x32 patch diagnostics; not a full-pixel claim
2,BAL_G,defect,282,0.02237009878592368,0.060090473294258116,0.042127288494866785,0.087394480407238,region values are 32x32 patch diagnostics; not a full-pixel claim
2,BAL_G,normal_image,176,0.013234024946954874,0.01782259254832752,0.036565024693581166,0.04762807711958879,region values are 32x32 patch diagnostics; not a full-pixel claim
2,TRI_G,abnormal_normal,282,0.012852935361704633,0.015495665444845628,0.035211623664152744,0.044942209124565105,region values are 32x32 patch diagnostics; not a full-pixel claim
2,TRI_G,boundary,282,0.018741771001288574,0.04899002313613891,0.03564634489040848,0.08414062112569809,region values are 32x32 patch diagnostics; not a full-pixel claim
2,TRI_G,clean_defect,226,0.020001056448868366,0.05615541338920593,0.03549281795204213,0.0994533911347389,region values are 32x32 patch diagnostics; not a full-pixel claim
2,TRI_G,defect,282,0.020498982530077117,0.04899002313613891,0.03969025757124132,0.0904887452721596,region values are 32x32 patch diagnostics; not a full-pixel claim
2,TRI_G,normal_image,176,0.012896789972025792,0.01729894663549203,0.03609292451451023,0.044086307659745125,region values are 32x32 patch diagnostics; not a full-pixel claim
4,A1_G,abnormal_normal,282,0.00960523001120527,0.013625152979946323,0.029961301539595236,0.046424216032028114,region values are 32x32 patch diagnostics; not a full-pixel claim
4,A1_G,boundary,282,0.015244395956854033,0.04809894412755966,0.031089991140872873,0.07656719833612441,region values are 32x32 patch diagnostics; not a full-pixel claim
4,A1_G,clean_defect,226,0.01875272472158503,0.06846389174461365,0.033193950249558006,0.07813206315040588,region values are 32x32 patch diagnostics; not a full-pixel claim
4,A1_G,defect,282,0.01741015318888494,0.0460828959941864,0.03604218565614511,0.07516567111015318,region values are 32x32 patch diagnostics; not a full-pixel claim
4,A1_G,normal_image,176,0.009658389912973771,0.013671261462150142,0.030925293537703406,0.04400760531425467,region values are 32x32 patch diagnostics; not a full-pixel claim
4,BAL_G,abnormal_normal,282,0.012685205211964038,0.01708361638201243,0.03335004705169521,0.04822104275226593,region values are 32x32 patch diagnostics; not a full-pixel claim
4,BAL_G,boundary,282,0.019339590050111495,0.05716011524200439,0.03549103923406161,0.07656545042991637,region values are 32x32 patch diagnostics; not a full-pixel claim
4,BAL_G,clean_defect,226,0.022452780981196747,0.08647871017456055,0.03752818876069731,0.08647871017456055,region values are 32x32 patch diagnostics; not a full-pixel claim
4,BAL_G,defect,282,0.021625380612548577,0.05716011524200439,0.04030055835684563,0.07656545042991637,region values are 32x32 patch diagnostics; not a full-pixel claim
4,BAL_G,normal_image,176,0.012366612588762522,0.017986849779845215,0.034346512057395126,0.04761398583650587,region values are 32x32 patch diagnostics; not a full-pixel claim
4,TRI_G,abnormal_normal,282,0.01254408665454313,0.016157489463921145,0.03344491567092795,0.04419904015958307,region values are 32x32 patch diagnostics; not a full-pixel claim
4,TRI_G,boundary,282,0.01803725970920985,0.04692268371582031,0.03399025480665847,0.07014434412121773,region values are 32x32 patch diagnostics; not a full-pixel claim
4,TRI_G,clean_defect,226,0.021045028657896883,0.0669393241405487,0.03640845753005253,0.09106215238571166,region values are 32x32 patch diagnostics; not a full-pixel claim
4,TRI_G,defect,282,0.020199768959170195,0.04692268371582031,0.038926222804828096,0.08677748441696168,region values are 32x32 patch diagnostics; not a full-pixel claim
4,TRI_G,normal_image,176,0.012120552514980303,0.017695793867460452,0.03400059427050025,0.046047778427600765,region values are 32x32 patch diagnostics; not a full-pixel claim
