dataset,evaluation_revision,metric,kind,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,n_replicates,effect_scale
btad,corrected,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.015527354851135253,0.015688160779935192,0.006367028685327939,0.024649467896461122,0.0013780993534506555,0.02682877613543737,1000,0.005
btad,corrected,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.015031101986153941,0.015480674823064299,0.005854387729324282,0.024946860316445323,0.001651386243936748,0.02722960586612839,1000,0.005
btad,corrected,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.009735432608442687,0.009977388973630411,0.001766585988717051,0.018032366614857832,-0.0022187917931295867,0.01948738312330714,1000,0.005
btad,corrected,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.008541504681735118,0.009082835673376229,0.0005708053163707421,0.017526380828942038,-0.0022645213126639353,0.019238629374776522,1000,0.005
btad,corrected,pixel_auroc,representation_effect,E_TRI_J: TRI_J - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0014385356870761474,0.0006512185268323072,0.002211667436744677,0.00045430933337060365,0.0024586557883295728,1000,0.005
btad,corrected,pixel_auroc,representation_effect,E_TRI_L: TRI_L - DUP_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0015049652074512947,0.0006700743295145431,0.0023108610168203303,0.0005912433659983995,0.0026209320145924313,1000,0.005
btad,corrected,pixel_auroc,representation_effect,E_BAL_J: BAL_J - A1_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0010412026101201757,0.0003483555888393772,0.0016913879290729355,0.00018068195086503452,0.001939558099495453,1000,0.005
btad,corrected,pixel_auroc,representation_effect,E_BAL_L: BAL_L - A1_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,,0.0010403635608090226,0.00030605534211503797,0.0017261375946512035,0.0001952923625554942,0.0020045159396796515,1000,0.005
ksdd2,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.010220628367348319,0.010003669090170135,-0.005530929582200661,0.02582626004367075,-0.01118216456938321,0.03198063265887032,1000,0.005
ksdd2,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.015606913249152856,0.015441860688631947,-0.0002939744167824631,0.03190140683760699,-0.006267256039896609,0.03726168007800087,1000,0.005
ksdd2,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.006135226931101828,0.005780321611767854,-0.006103380161948065,0.017846718825854653,-0.010999392804952235,0.022267319046510036,1000,0.005
ksdd2,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.00956213963510046,0.009221922321905303,-0.003024617503734593,0.02205256121443501,-0.008180409106960662,0.025640615313763354,1000,0.005
ksdd2,study,pixel_auroc,representation_effect,E_TRI_J: TRI_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.003580673724815473,0.003616160737603998,0.001312005049785512,0.006302425507027276,0.0007832404840900762,0.007165633541303202,1000,0.005
ksdd2,study,pixel_auroc,representation_effect,E_TRI_L: TRI_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0042129098860038405,0.004245864559443511,0.0018925983989825737,0.00716470517266837,0.0013762514070946182,0.00807433627700386,1000,0.005
ksdd2,study,pixel_auroc,representation_effect,E_BAL_J: BAL_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.00253516862793234,0.002555442585869972,0.0007133250862283752,0.004859965163080278,0.00018035259030508655,0.005457318769085888,1000,0.005
ksdd2,study,pixel_auroc,representation_effect,E_BAL_L: BAL_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0032042381007897545,0.0032260827622740294,0.0011534691922381291,0.005790413358631022,0.0008735398603893967,0.006523193612190632,1000,0.005
