dataset,seed,shot,category,unit_dir,done_json,invariants_pass,n_images,grid,methods_expected,methods_found,methods_missing,nonfinite_arrays,sample_ids_match_canonical,mask_shape_matches_grid,cache_exists,replay_covered,status,notes,extra_keys
mpdd,0,1,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,1,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,1,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,1,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\connector,True,True,44,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,1,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,1,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\tubes,True,True,101,32x32,13,13,,0,True,True,True,False,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,2,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k2\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,2,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k2\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,2,bracket_white,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k2\bracket_white,True,True,60,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,2,connector,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k2\connector,True,True,44,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,2,metal_plate,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k2\metal_plate,True,True,97,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,2,tubes,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k2\tubes,True,True,101,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,4,bracket_black,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_black,True,True,79,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
mpdd,0,4,bracket_brown,experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_brown,True,True,77,32x32,13,13,,0,True,True,True,True,verified,,A1_G;DUP_G;TRI_G;BAL_G;DELTA_A1_L;DELTA_A1_J;DELTA_TRI_L;DELTA_TRI_J;DELTA_BAL_L;DELTA_BAL_J
