dataset,seed,category,sample_id,role,mask_path,raw_mask_hw,gt_transform,gt_hash,mask_pixels
btad,0,01,01/test/ko/0000.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0000.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,549ac5a547aae092,24652
btad,0,01,01/test/ko/0001.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0001.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,b3826e2ed935e092,14863
btad,0,01,01/test/ko/0002.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0002.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,1873c896627859e0,4444
btad,0,01,01/test/ko/0003.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0003.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,641c35e3fa454c61,264
btad,0,01,01/test/ko/0004.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0004.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,3d0faf231bd8687c,1829
btad,0,01,01/test/ko/0005.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0005.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,3e97c7fc439d942d,10844
btad,0,01,01/test/ko/0006.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0006.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,fb477ab707e88375,14676
btad,0,01,01/test/ko/0007.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0007.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,48f5f05749cee7b8,8392
btad,0,01,01/test/ko/0008.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0008.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,10f07285ea560412,12895
btad,0,01,01/test/ko/0009.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0009.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,37769306ab3fd891,1668
btad,0,01,01/test/ko/0010.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0010.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,5e4db3f947cb5f64,26131
btad,0,01,01/test/ko/0011.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0011.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,fbb3a6e3f13afb08,1128
btad,0,01,01/test/ko/0012.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0012.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,642fe8907f95602f,4743
btad,0,01,01/test/ko/0013.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0013.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,0dbb223c5f02dc00,3860
btad,0,01,01/test/ko/0014.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0014.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,716b0991b6c31569,22230
btad,0,01,01/test/ko/0015.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0015.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,6c2a8a6c8b2128d9,18129
btad,0,01,01/test/ko/0016.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0016.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,2a31ef969ad6f248,25774
btad,0,01,01/test/ko/0017.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0017.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,3a63fcd9241401ea,2630
btad,0,01,01/test/ko/0018.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0018.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,5d7750e6f92efba4,2399
btad,0,01,01/test/ko/0019.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0019.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,16b112ba2b1b1142,904
btad,0,01,01/test/ko/0020.bmp,defect,data\btad_raw\BTech_Dataset_transformed\01\ground_truth\ko\0020.png,1600x1600,nearest 1600x1600 -> 448x448 -> crop 448x448,6253b0314a3172b0,2206
