method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,03/test/ko/0000.bmp,1,abnormal_normal,32x42,19,1305,0.00892857160148036,0.0,0.0007218122482299805,0.006445705890655518,0.01367497444152832,0.02808802723884581,0.0,0.061538368463516235
A1_G,0,03/test/ko/0000.bmp,1,defect,32x42,19,39,0.010667596872036274,0.0007229626178741456,0.005387097597122192,0.010466247797012329,0.015606805682182312,0.022867909073829653,0.0,0.02652662992477417
A1_G,0,03/test/ko/0000.bmp,1,clean_defect,32x42,19,20,0.011337436735630035,0.0016764685511589052,0.005177415907382965,0.012093544006347656,0.01585187017917633,0.023633773624897006,0.0008032917976379395,0.02652662992477417
A1_G,0,03/test/ko/0000.bmp,1,boundary,32x42,19,19,0.009962502278779683,0.0,0.0065564364194869995,0.010109126567840576,0.013829275965690613,0.01833189129829406,0.0,0.021667808294296265
A1_G,1,03/test/ko/0001.bmp,1,abnormal_normal,32x42,20,1295,0.008462763592083021,0.0,0.0006348490715026855,0.005835294723510742,0.01328103244304657,0.026281917095184324,0.0,0.059762001037597656
A1_G,1,03/test/ko/0001.bmp,1,defect,32x42,20,49,0.014754775227332602,0.0,0.01036575436592102,0.014574915170669556,0.019030660390853882,0.029341578483581536,0.0,0.03637668490409851
A1_G,1,03/test/ko/0001.bmp,1,clean_defect,32x42,20,29,0.014614105224609375,0.0016859889030456548,0.011259615421295166,0.014690369367599487,0.019030660390853882,0.02617875337600707,0.0,0.028777509927749634
A1_G,1,03/test/ko/0001.bmp,1,boundary,32x42,20,20,0.01495874673128128,0.0,0.008953310549259186,0.013840839266777039,0.018278926610946655,0.03324968665838242,0.0,0.03637668490409851
A1_G,2,03/test/ko/0002.bmp,1,abnormal_normal,32x42,26,1288,0.008815858374286141,0.0,0.001186870038509369,0.006544128060340881,0.013988830149173737,0.025308336317539214,0.0,0.06659677624702454
A1_G,2,03/test/ko/0002.bmp,1,defect,32x42,26,56,0.012343493955475944,0.0003476142883300781,0.0045651718974113464,0.011436626315116882,0.016667082905769348,0.029851779341697693,0.0,0.044459253549575806
A1_G,2,03/test/ko/0002.bmp,1,clean_defect,32x42,26,30,0.0106410950422287,0.00020856857299804695,0.0038183555006980896,0.00862082839012146,0.016323551535606384,0.026015822589397417,0.0,0.030606597661972046
A1_G,2,03/test/ko/0002.bmp,1,boundary,32x42,26,26,0.014307800393838149,0.0036584287881851196,0.006455868482589722,0.012060925364494324,0.016823701560497284,0.031644709408283234,0.0,0.044459253549575806
A1_G,3,03/test/ko/0003.bmp,1,abnormal_normal,32x42,19,1286,0.008485259711278913,0.0,0.0009049549698829651,0.005549520254135132,0.013062670826911926,0.026332266628742218,0.0,0.06216156482696533
A1_G,3,03/test/ko/0003.bmp,1,defect,32x42,19,58,0.014699427732105913,0.0024743691086769105,0.008116409182548523,0.01382116973400116,0.01983686536550522,0.02940830886363983,0.0013158023357391357,0.0472833514213562
A1_G,3,03/test/ko/0003.bmp,1,clean_defect,32x42,19,39,0.013923907891297951,0.0020490974187850953,0.008349433541297913,0.013939201831817627,0.018724247813224792,0.02574069797992707,0.0013158023357391357,0.036859750747680664
A1_G,3,03/test/ko/0003.bmp,1,boundary,32x42,19,19,0.016291284247448568,0.005114373564720154,0.007824838161468506,0.013703137636184692,0.021352440118789673,0.03119020462036129,0.0025453269481658936,0.0472833514213562
A1_G,4,03/test/ko/0004.bmp,1,abnormal_normal,32x42,31,1255,0.00864874157772596,0.0,0.0005209594964981079,0.005549728870391846,0.01268722116947174,0.028479662537574765,0.0,0.06336617469787598
A1_G,4,03/test/ko/0004.bmp,1,defect,32x42,31,89,0.015938099515572023,0.0032111465930938724,0.007323145866394043,0.014312446117401123,0.020718693733215332,0.041234642267227166,0.0,0.049948275089263916
A1_G,4,03/test/ko/0004.bmp,1,clean_defect,32x42,31,58,0.016327492635825586,0.0043818563222885135,0.008724771440029144,0.014440596103668213,0.02069426327943802,0.04156549721956252,0.0005927681922912598,0.049948275089263916
A1_G,4,03/test/ko/0004.bmp,1,boundary,32x42,31,31,0.015209557548646004,0.002000585198402405,0.00637422502040863,0.014200598001480103,0.019727975130081177,0.03851202130317688,0.0,0.04419708251953125
A1_G,5,03/test/ko/0005.bmp,1,abnormal_normal,32x42,21,1279,0.008312893622176921,0.0,0.0006097555160522461,0.005991160869598389,0.012710273265838623,0.02572600245475769,0.0,0.05372518301010132
A1_G,5,03/test/ko/0005.bmp,1,defect,32x42,21,65,0.014394479990005492,0.0028133034706115724,0.009624689817428589,0.013904482126235962,0.017985880374908447,0.03072597384452818,0.0,0.04257872700691223
A1_G,5,03/test/ko/0005.bmp,1,clean_defect,32x42,21,44,0.015778546306219967,0.006690306961536408,0.011501498520374298,0.014384210109710693,0.018045559525489807,0.03249681293964387,0.0027283430099487305,0.04257872700691223
A1_G,5,03/test/ko/0005.bmp,1,boundary,32x42,21,21,0.01149453151793707,0.0001990795135498047,0.006578683853149414,0.009892106056213379,0.015245825052261353,0.02240106463432312,0.0,0.03188377618789673
A1_G,6,03/test/ko/0006.bmp,1,abnormal_normal,32x42,16,1284,0.007977141049977775,0.0,0.0004314407706260681,0.005575805902481079,0.012690365314483643,0.024242661893367747,0.0,0.05523967742919922
A1_G,6,03/test/ko/0006.bmp,1,defect,32x42,16,60,0.01682649552822113,0.0014311224222183228,0.011788837611675262,0.016440480947494507,0.02357112616300583,0.029375404119491577,0.0,0.03044724464416504
A1_G,6,03/test/ko/0006.bmp,1,clean_defect,32x42,16,44,0.01766852086240595,0.004209978878498077,0.013427816331386566,0.017545685172080994,0.022709675133228302,0.026931679248809817,0.0,0.029787778854370117
A1_G,6,03/test/ko/0006.bmp,1,boundary,32x42,16,16,0.014510925859212875,0.001263543963432312,0.006744563579559326,0.013760417699813843,0.02395118772983551,0.02985995262861252,0.0007342100143432617,0.03044724464416504
A1_G,7,03/test/ko/0007.bmp,1,abnormal_normal,32x42,29,1264,0.00769442692399025,0.0,0.0004802718758583069,0.0043561458587646484,0.01249028742313385,0.025682309269905085,0.0,0.05286514759063721
