dataset,category,seed,grid,n_query,n_ref,dim,query_sha256,ref_sha256,ref_shape,query_encoded,ref_encoded,reused,query_seconds,ref_seconds,query_shape,features_dir,created_utc
btad,01,0,"[32, 32]",70,8,384,c845fe5e14f8c49998ab2a310321e7624570b95f6d0fc897657aa91f2a3e84a3,0cc7f47fc157db6176b7cf9e139c6826a5e5f36ac86fdf3116d19910021499de,"[8, 32, 32, 384]",False,False,True,,,"[70, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:39.118038+00:00
btad,01,1,"[32, 32]",70,8,384,c845fe5e14f8c49998ab2a310321e7624570b95f6d0fc897657aa91f2a3e84a3,9febe83f7c66653db1f37211aa0c70ac34b12860bae529bb9b05af6846bd055b,"[8, 32, 32, 384]",False,False,True,,,"[70, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:39.331576+00:00
btad,02,0,"[32, 32]",230,8,384,c175e4826cdf7940dd8b987b506ecf5108026af0c1f575c06942de5d0e9495f8,ea604589a9cc62c61451ccd62f9d2514509c95497e8d65686f229366c5071aa9,"[8, 32, 32, 384]",False,False,True,,,"[230, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:39.880117+00:00
btad,02,1,"[32, 32]",230,8,384,c175e4826cdf7940dd8b987b506ecf5108026af0c1f575c06942de5d0e9495f8,440a5323ad77e2aa65b9412b7a9a8c82394f543996bf6b8deaafab80faa1e263,"[8, 32, 32, 384]",False,False,True,,,"[230, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:40.463997+00:00
btad,03,0,"[32, 42]",441,8,384,6d5db0c9bce9caefe75930a98802d8dbff5fdc69231cf6557ee54def2539f3fd,ca417ac845db9135856a521f1dee897dae636c9420b94ff8d15152ed29da8958,"[8, 32, 42, 384]",False,False,True,,,"[441, 32, 42, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:41.803163+00:00
btad,03,1,"[32, 42]",441,8,384,6d5db0c9bce9caefe75930a98802d8dbff5fdc69231cf6557ee54def2539f3fd,f0df6c963c24054a8b801461f287d10ec532e136fde2fd0e9a964edc128cf04c,"[8, 32, 42, 384]",False,False,True,,,"[441, 32, 42, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:43.169786+00:00
mpdd,bracket_black,0,"[32, 32]",79,8,384,d555b4e5f3ac1bd3e06fdf67d56adf04524b09ae4d2d5afbccd9e75dc5951251,4cb67df0d71218ebe8a138147f779883c0b0087ad5886da50ae301ec15208cbe,"[8, 32, 32, 384]",False,False,True,,,"[79, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:43.356235+00:00
mpdd,bracket_black,1,"[32, 32]",79,8,384,d555b4e5f3ac1bd3e06fdf67d56adf04524b09ae4d2d5afbccd9e75dc5951251,53b92d78e7121c0f2214a1a472d990d7af1d3d450a171e53a3dc4b5250a352ad,"[8, 32, 32, 384]",False,False,True,,,"[79, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:43.563063+00:00
mpdd,bracket_brown,0,"[32, 32]",77,8,384,4e1257855a20fb653cc2bfe196d361098cc00b3c0649578b47fd98587b0f3eb0,c588f4835ea582c44768f591032103f4066c5ff967a814b24bb20944525fc610,"[8, 32, 32, 384]",False,False,True,,,"[77, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:43.772964+00:00
mpdd,bracket_brown,1,"[32, 32]",77,8,384,4e1257855a20fb653cc2bfe196d361098cc00b3c0649578b47fd98587b0f3eb0,af95242ab81e58a9f9089c708c07c68fdead7af62530129a39e8e6d875ed7cf8,"[8, 32, 32, 384]",False,False,True,,,"[77, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:44.040879+00:00
mpdd,bracket_white,0,"[32, 32]",60,8,384,bc58f19b7533ca88f26301ef3c80bfc4d3f5f912bf96a334623d4cacab02fd0f,b8478f8d6da5a4504130d26cb043519896e86f30c4f6da5ea119f0932afe01b3,"[8, 32, 32, 384]",False,False,True,,,"[60, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:44.339873+00:00
mpdd,bracket_white,1,"[32, 32]",60,8,384,bc58f19b7533ca88f26301ef3c80bfc4d3f5f912bf96a334623d4cacab02fd0f,eaf78169b365d6ae77cc739d0d61a50ebc5b0eb2dec18da3525cdba3111438e4,"[8, 32, 32, 384]",False,False,True,,,"[60, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:44.656475+00:00
mpdd,connector,0,"[32, 32]",44,8,384,0bf51514315a195c70a7e6a789a47a7711f64b885ee1dd9b701e1f20bc60895d,8fdcb73965e484c86c651dc7871c9b974e8b09912748f1a8d546fca70e5dceca,"[8, 32, 32, 384]",False,False,True,,,"[44, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:44.925435+00:00
mpdd,connector,1,"[32, 32]",44,8,384,0bf51514315a195c70a7e6a789a47a7711f64b885ee1dd9b701e1f20bc60895d,bd476d3b1e63814c48d1dc1444b33ef59110c16724df9117ff9c9632072784bd,"[8, 32, 32, 384]",False,False,True,,,"[44, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:45.183917+00:00
mpdd,metal_plate,0,"[32, 32]",97,8,384,5c7dbadb5916519fe9ce7b689a36ccb37c847d9d4f992d5062f8105b109f06ef,7194983b4e8e1425b3ab5d995502f90ee527c1373eb0a4e737f0cf267b26225a,"[8, 32, 32, 384]",False,False,True,,,"[97, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:45.705957+00:00
mpdd,metal_plate,1,"[32, 32]",97,8,384,5c7dbadb5916519fe9ce7b689a36ccb37c847d9d4f992d5062f8105b109f06ef,d720fa06ad4ed4eb240ffa0f5d9e5e0f64cb6fff442ab5d01aab8318795bd285,"[8, 32, 32, 384]",False,False,True,,,"[97, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-19T01:22:46.148395+00:00
