dataset,evaluation_revision,metric,kind,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,n_replicates,effect_scale
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.002239295650100786,-0.002487697272572928,-0.009676672959746542,0.004779507732018213,-0.012079351565674091,0.007294832954227746,1000,0.005
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0054818385649309615,0.005136664138227162,-0.0009174226111837295,0.01159868337515173,-0.0027455835008463355,0.013457288660732654,1000,0.005
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.005101747879352257,-0.005187999992611087,-0.011345429959963522,0.0012305267702172552,-0.01349302302441358,0.0032302782745003734,1000,0.005
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0008530423821506289,0.0009658876328689245,-0.004337402837593803,0.007082223901198041,-0.006742768924251396,0.007990410345808652,1000,0.005
mpdd,study,pixel_auroc,representation_effect,E_TRI_J: TRI_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0030787687301585633,0.0030489073797752733,0.0017377548076828275,0.004402267614552311,0.0014117383749916695,0.004788809605706341,1000,0.005
mpdd,study,pixel_auroc,representation_effect,E_TRI_L: TRI_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.005035553024622182,0.005000317700784315,0.0036818119095843164,0.006319229269944235,0.003348156866679963,0.006794976000689867,1000,0.005
mpdd,study,pixel_auroc,representation_effect,E_BAL_J: BAL_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0021713444147291408,0.0021469620400928918,0.001046223461328851,0.003206820550538043,0.0008131211801591666,0.0035635209098348235,1000,0.005
mpdd,study,pixel_auroc,representation_effect,E_BAL_L: BAL_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.00339317963162016,0.0033619559484357165,0.0023454454577686284,0.0043957638762535355,0.002060992368050896,0.004716578024146563,1000,0.005
btad,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.015346262693690618,0.015540532604626442,0.006346798231615854,0.024461218510733046,0.0006179503946042016,0.02663195806055172,1000,0.005
btad,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.014868301089907526,0.015343697129549876,0.0061685027691568035,0.02476783798569214,0.0009476458289358356,0.026952267473055656,1000,0.005
