dataset,evaluation_revision,metric,kind,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,ci9875_low,ci9875_high,n_replicates,effect_scale,form_max_abs_difference,ci95_excludes_zero,ci9875_excludes_zero,reaches_effect_scale
mpdd,study,pixel_ap,representation_effect,E_TRI_J: TRI_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.002239295650100786,-0.002487697272572928,-0.009676672959746542,0.004779507732018213,-0.012079351565674091,0.007294832954227746,1000,0.005,,,,
mpdd,study,pixel_ap,representation_effect,E_TRI_L: TRI_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0054818385649309615,0.005136664138227162,-0.0009174226111837295,0.01159868337515173,-0.0027455835008463355,0.013457288660732654,1000,0.005,,,,
mpdd,study,pixel_ap,representation_effect,E_BAL_J: BAL_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.005101747879352257,-0.005187999992611087,-0.011345429959963522,0.0012305267702172552,-0.01349302302441358,0.0032302782745003734,1000,0.005,,,,
mpdd,study,pixel_ap,representation_effect,E_BAL_L: BAL_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0008530423821506289,0.0009658876328689245,-0.004337402837593803,0.007082223901198041,-0.006742768924251396,0.007990410345808652,1000,0.005,,,,
mpdd,study,pixel_ap,matching_effect,M_A1: A1_L - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.006178241162558731,0.006371741312420889,0.003372317206616912,0.00977410774034669,0.002669404435304104,0.010910772636808681,1000,0.005,,,,
mpdd,study,pixel_ap,matching_effect,M_TRI: TRI_L - TRI_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.010934830050833164,0.011110431224612324,0.00701432826684087,0.01543964357344284,0.00596303116235739,0.017027006760760837,1000,0.005,,,,
mpdd,study,pixel_ap,matching_effect,M_BAL: BAL_L - BAL_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.012133031424061616,0.012525628937900901,0.008386892558637761,0.01722193410456079,0.007565507210630428,0.018180908308075953,1000,0.005,,,,
mpdd,study,pixel_ap,matching_effect,M_DUP: DUP_L - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0032136958358014167,0.0034860698138122342,0.0013658184789198816,0.005798850295687854,0.0008433729710100571,0.006593559730470159,1000,0.005,,,,
mpdd,study,pixel_ap,interaction,I_TRI: (TRI_L-DUP_L) - (TRI_J-DUP_J),12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.007721134215031747,0.007624361410800091,0.004255086524111886,0.011181574814542274,0.003460352074943862,0.01211410088527157,1000,0.005,0.0,True,True,True
mpdd,study,pixel_ap,interaction,I_BAL: (BAL_L-A1_L) - (BAL_J-A1_J),12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.005954790261502886,0.006153887625480011,0.003216078832111455,0.009270959127387133,0.0018853506624125133,0.010295737927010573,1000,0.005,0.0,True,True,True
