method,image_index,sample_id,label,image_max,pixel_ap
B,0,cable/test/bent_wire/000.png,1,0.47610074281692505,0.4558516773277602
B,1,cable/test/bent_wire/001.png,1,0.484748899936676,0.8832659257089336
B,2,cable/test/bent_wire/002.png,1,0.42853474617004395,0.8310353227706401
B,3,cable/test/bent_wire/003.png,1,0.6202631592750549,0.7260798677899559
B,4,cable/test/bent_wire/004.png,1,0.65408855676651,0.7847950998326972
B,5,cable/test/bent_wire/005.png,1,0.6448136568069458,0.8983186014954277
B,6,cable/test/bent_wire/006.png,1,0.574674129486084,0.8584295214017537
B,7,cable/test/bent_wire/007.png,1,0.5965673327445984,0.76565230451142
B,8,cable/test/bent_wire/008.png,1,0.36437156796455383,0.5305125035131817
B,9,cable/test/bent_wire/009.png,1,0.5383489727973938,0.7015210463250584
B,10,cable/test/bent_wire/010.png,1,0.6363198161125183,0.6476274673396546
B,11,cable/test/bent_wire/011.png,1,0.5350973010063171,0.9156749141408257
B,12,cable/test/bent_wire/012.png,1,0.4976707994937897,0.8283976085757119
B,13,cable/test/cable_swap/000.png,1,0.2906060218811035,0.21925348983615628
B,14,cable/test/cable_swap/001.png,1,0.3435993194580078,0.11166039229385501
B,15,cable/test/cable_swap/002.png,1,0.2874167561531067,0.21209690530384567
B,16,cable/test/cable_swap/003.png,1,0.3364447057247162,0.17500444191593476
B,17,cable/test/cable_swap/004.png,1,0.3609543740749359,0.15560537653353795
B,18,cable/test/cable_swap/005.png,1,0.303993284702301,0.1159499425886626
B,19,cable/test/cable_swap/006.png,1,0.2656112313270569,0.15230034086823316
B,20,cable/test/cable_swap/007.png,1,0.3224138617515564,0.13948680327340782
B,21,cable/test/cable_swap/008.png,1,0.3036280572414398,0.39955404442412557
B,22,cable/test/cable_swap/009.png,1,0.38906848430633545,0.2778211180049438
B,23,cable/test/cable_swap/010.png,1,0.287650465965271,0.25949720429192624
B,24,cable/test/cable_swap/011.png,1,0.3069382309913635,0.11221708666830876
B,25,cable/test/combined/000.png,1,0.5214765071868896,0.46501658118924044
B,26,cable/test/combined/001.png,1,0.5619293451309204,0.7963475681110507
B,27,cable/test/combined/002.png,1,0.5398527979850769,0.864268878558204
B,28,cable/test/combined/003.png,1,0.4403632879257202,0.5619146452814223
B,29,cable/test/combined/004.png,1,0.5547147393226624,0.6706156329156671
B,30,cable/test/combined/005.png,1,0.45881387591362,0.585985693159496
B,31,cable/test/combined/006.png,1,0.5185053944587708,0.8522250594000557
B,32,cable/test/combined/007.png,1,0.3377240002155304,0.526223596330516
B,33,cable/test/combined/008.png,1,0.5196327567100525,0.47166612941309677
B,34,cable/test/combined/009.png,1,0.4766314923763275,0.5236691919636457
B,35,cable/test/combined/010.png,1,0.49557098746299744,0.8240181807778326
B,36,cable/test/cut_inner_insulation/000.png,1,0.45356154441833496,0.5312645207072898
B,37,cable/test/cut_inner_insulation/001.png,1,0.3809002637863159,0.8228181972884266
B,38,cable/test/cut_inner_insulation/002.png,1,0.4137633144855499,0.6110867081875686
B,39,cable/test/cut_inner_insulation/003.png,1,0.4591301679611206,0.8644636897326927
B,40,cable/test/cut_inner_insulation/004.png,1,0.5351884365081787,0.9595278481723808
B,41,cable/test/cut_inner_insulation/005.png,1,0.3649884760379791,0.5714015874334726
B,42,cable/test/cut_inner_insulation/006.png,1,0.4443608224391937,0.724551238201621
B,43,cable/test/cut_inner_insulation/007.png,1,0.4023202061653137,0.5537894370233198
B,44,cable/test/cut_inner_insulation/008.png,1,0.39395126700401306,0.4464677977528691
B,45,cable/test/cut_inner_insulation/009.png,1,0.4385471045970917,0.6675831604156267
B,46,cable/test/cut_inner_insulation/010.png,1,0.3810730278491974,0.7503776831668141
B,47,cable/test/cut_inner_insulation/011.png,1,0.4702707529067993,0.6437462560433151
B,48,cable/test/cut_inner_insulation/012.png,1,0.47003865242004395,0.7839650247476104
B,49,cable/test/cut_inner_insulation/013.png,1,0.46051904559135437,0.5172635893443774
B,50,cable/test/cut_outer_insulation/000.png,1,0.5144816637039185,0.6416596131461917
