created_utc,method,item,official,official_source,local,deviation_reason,classification
2026-09-14T07:32:02.395438+00:00,AnomalyDINO,unknown-dataset fallback config,agnostic_no_mask when the dataset has no entry in the official config,methods/anomalydino_official/src/configs.py,MPDD/BTAD use the fallback; the vendored config has no mpdd/btad entry,match: the datasets are genuinely unknown to the official repo,match
2026-09-14T07:32:02.395438+00:00,AnomalyDINO,reference rotation augmentation,agnostic_no_mask sets rotation_angle=45 (8 rotations of each reference),src/configs.py agnostic_no_mask,rotation off in the closeout run; rotation on in the new official-config run,the closeout run inherited the E1 deviation; the S4 run adds the official fallback behaviour for comparison,deviation-then-corrected
2026-09-14T07:32:02.395438+00:00,AnomalyDINO,reference masking,agnostic_no_mask sets masking=False,src/configs.py agnostic_no_mask,masking=False,match,match
2026-09-14T07:32:02.395438+00:00,AnomalyDINO,input resolution,smaller_edge_size=448,src/backbones.py get_model default,448,match,match
2026-09-14T07:32:02.395438+00:00,AnomalyDINO,memory bank size,one bank per reference image after augmentation,src/backbones.py prepare_image,K references x 8 rotations when rotation is on; K x 1 when off,"the bank is enlarged by augmentation of the same K originals, so no extra independent normal samples are introduced",documented
2026-09-14T07:32:02.395438+00:00,AnomalyDINO,reference identity,sorted(listdir)[seed*n:(seed+1)*n],official run script,the frozen project support manifest,"keeps support IDs comparable with the controlled matrix; same K, different draw",documented
2026-09-14T07:32:02.395438+00:00,AnomalyDINO,output frame,448x448 square map,official MAP_SIZE,448x448 square (native) and grid*14 canvas (S4 common frame),"no deviation; the canvas frame is an addition, both are reported",documented
2026-09-14T07:32:02.395438+00:00,PatchCore,CLI defaults,"--resize 256 --imagesize 224, pretrain/target embed dim 1024, NN=5",methods/patchcore/.../bin/run_patchcore.py argparse defaults,"--resize 144 --imagesize 128, target embed dim 256, NN=1",resource reduction for the 6 GB GPU; the official 224/1024 config fails with a ~2.69 GiB contiguous allocation on this device,deviation
2026-09-14T07:32:02.395438+00:00,PatchCore,README recommendation vs CLI default,README example uses NN=1 with --faiss_on_gpu; the CLI default is NN=5 on CPU,methods/patchcore/patchcore-inspection-main/README.md,"NN=1, CPU FAISS, faiss_num_workers=1",the README recommendation is followed for NN=1; GPU FAISS is not used here,partial-match
2026-09-14T07:32:02.395438+00:00,PatchCore,coreset ratio,--sampler_percentage 0.1,bin/run_patchcore.py default,0.1,match,match
2026-09-14T07:32:02.395438+00:00,PatchCore,backbone,"wideresnet50, layer2+layer3",bin/run_patchcore.py default,"wideresnet50, layer2+layer3",match,match
2026-09-14T07:32:02.395438+00:00,PatchCore,dataset registration,the vendored loader registers only `mvtec`,src/patchcore/datasets/mvtec.py,MPDD uses the MVTec layout directly; BTAD is mirrored into a hard-linked MVTec-style view,"a technical necessity, not a tuning choice; the image files are the same files",documented
2026-09-14T07:32:02.395438+00:00,PatchCore,official-resolution run in this delivery,--resize 256 --imagesize 224 --target_embed_dimension 1024,bin/run_patchcore.py defaults,"runtime confirmed on this GPU (84-120 s per unit); produced for MPDD/BTAD, seed 0/1, K 1/4",added in S4; the local128 run stays as the resource-reduced reference,added
2026-09-14T07:32:02.395438+00:00,controlled,evaluation frame,n/a (this is the frame proposed by the study),engine_v2 / diagnostics_v2,"grid x 14 canvas; stride-8 subsampling for the inferential statistics, stride-1 full-pixel for the performance point estimates","the stride difference is a declared protocol choice, not a baseline deviation",documented
