method,dataset,seed,shot,frame,n_categories,n_images,bank_s,retrieval_s,run_combined_s,evaluation_s,total_s,peak_gpu_mb,peak_ram_mb,timing_sync,stages,peak_gpu_source,peak_ram_source,measurement,source,note
AnomalyDINO_native_canvas_norotation,btad,0,1,canvas,3,741,0.17,45.33,,16.64,62.14,118.80029296875,1749.1,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_per_category_canvas.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_norotation,btad,0,4,canvas,3,741,0.6,60.41,,16.27,77.28,118.80029296875,1769.6,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_per_category_canvas.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_norotation,btad,1,1,canvas,3,741,0.16,45.22,,16.2,61.58,118.80029296875,1769.6,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_per_category_canvas.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_norotation,btad,1,4,canvas,3,741,0.65,60.23,,16.43,77.31,118.80029296875,1769.6,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_per_category_canvas.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_norotation,mpdd,0,1,canvas,6,458,0.63,40.29,,8.79,49.71,111.64794921875,971.3,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_per_category_canvas.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_norotation,mpdd,0,4,canvas,6,458,1.69,46.73,,8.01,56.43,112.51611328125,982.8,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_per_category_canvas.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_norotation,mpdd,1,1,canvas,6,458,0.46,39.66,,8.29,48.41,112.51611328125,982.8,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_per_category_canvas.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_norotation,mpdd,1,4,canvas,6,458,1.89,46.55,,8.41,56.85,112.51611328125,982.8,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_per_category_canvas.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_rotation,btad,0,1,canvas,3,741,1.23,86.67,,17.37,105.27,118.80029296875,1724.2,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_per_category_canvas_rotation.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_rotation,btad,0,4,canvas,3,741,4.36,182.25,,17.24,203.85,118.80029296875,1922.5,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_per_category_canvas_rotation.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
AnomalyDINO_native_canvas_rotation,btad,1,1,canvas,3,741,1.15,82.42,,16.62,100.19,118.80029296875,1922.5,torch.cuda.synchronize() before each stage boundary,bank / per-image retrieval / evaluation (summed over categories),torch.cuda.max_memory_allocated at the end of the unit,GetProcessMemoryInfo PeakWorkingSetSize (true process peak),instrumented,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_per_category_canvas_rotation.csv,"bank and retrieval are summed over the unit's categories, so they are not diluted by category size; the rotation variant builds the bank from the same K originals, each rotated eight ways"
