shot,category,method,image_index,sample_id,image_label,region,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
2,bracket_black,A1_G,0,bracket_black/test/good/000.png,0,normal_image,0,1024,0.011000277678249404,0.0002906173467636109,0.0030867084860801697,0.007617771625518799,0.015544071793556213,0.030606487393379195,0.0,0.08135303854942322
2,bracket_black,A1_G,1,bracket_black/test/good/001.png,0,normal_image,0,1024,0.01240016712108627,0.0006553635001182558,0.0035495981574058533,0.00893382728099823,0.017333611845970154,0.037367281317710874,0.0,0.09235882759094238
2,bracket_black,A1_G,2,bracket_black/test/good/002.png,0,normal_image,0,1024,0.01153004530351609,0.0004413217306137085,0.0034607425332069397,0.008352234959602356,0.015831850469112396,0.03246791064739225,0.0,0.09042924642562866
2,bracket_black,A1_G,3,bracket_black/test/good/003.png,0,normal_image,0,1024,0.01187379559269175,0.000453014671802521,0.0029123499989509583,0.00834687054157257,0.016688108444213867,0.034804524481296534,0.0,0.0771825909614563
2,bracket_black,A1_G,4,bracket_black/test/good/004.png,0,normal_image,0,1024,0.01142051033093594,0.0005003154277801516,0.003490075469017029,0.00832897424697876,0.016291528940200806,0.03310260772705077,0.0,0.0977725088596344
2,bracket_black,A1_G,5,bracket_black/test/good/005.png,0,normal_image,0,1024,0.01154118511476554,0.00042952299118041997,0.0034481361508369446,0.007817178964614868,0.01610344648361206,0.03201701939105985,0.0,0.08648127317428589
2,bracket_black,A1_G,6,bracket_black/test/good/006.png,0,normal_image,0,1024,0.013834401674102992,0.0005454078316688538,0.0035876035690307617,0.009490877389907837,0.01929173618555069,0.042999252676963765,0.0,0.08390969038009644
2,bracket_black,A1_G,7,bracket_black/test/good/007.png,0,normal_image,0,1024,0.013145228382200003,0.0004839152097702029,0.003690555691719055,0.009124606847763062,0.01847279816865921,0.04155860245227814,0.0,0.07853618264198303
2,bracket_black,A1_G,8,bracket_black/test/good/008.png,0,normal_image,0,1024,0.010943257570033893,1.7797946929931652e-05,0.002683795988559723,0.007513195276260376,0.01541854441165924,0.03474314957857131,0.0,0.07717907428741455
2,bracket_black,A1_G,9,bracket_black/test/good/009.png,0,normal_image,0,1024,0.011079374642577022,0.0003577008843421936,0.002999700605869293,0.007747173309326172,0.015601180493831635,0.03135856240987776,0.0,0.07679593563079834
2,bracket_black,A1_G,10,bracket_black/test/good/010.png,0,normal_image,0,1024,0.0133711616799701,0.0005807742476463318,0.004081837832927704,0.009187862277030945,0.019324302673339844,0.03871143311262127,0.0,0.09150201082229614
2,bracket_black,A1_G,11,bracket_black/test/good/011.png,0,normal_image,0,1024,0.010891406069276854,0.00027343630790710455,0.002699844539165497,0.007471546530723572,0.015270113945007324,0.03358619064092636,0.0,0.08659783005714417
2,bracket_black,A1_G,12,bracket_black/test/good/012.png,0,normal_image,0,1024,0.013220479275332764,0.000734555721282959,0.004474639892578125,0.009367495775222778,0.017932042479515076,0.037704420089721656,0.0,0.0823720395565033
2,bracket_black,A1_G,13,bracket_black/test/good/013.png,0,normal_image,0,1024,0.013051922898739576,0.0004422441124916078,0.003163933753967285,0.008333176374435425,0.018678009510040283,0.04109290391206741,0.0,0.11641061305999756
2,bracket_black,A1_G,14,bracket_black/test/good/014.png,0,normal_image,0,1024,0.011695759691065177,0.00034274160861968994,0.0032593905925750732,0.008529290556907654,0.016408860683441162,0.03290872424840925,0.0,0.08064860105514526
2,bracket_black,A1_G,15,bracket_black/test/good/015.png,0,normal_image,0,1024,0.011132796440506354,0.00027114599943161015,0.0030506551265716553,0.007956147193908691,0.016127049922943115,0.033260719478130335,0.0,0.06426751613616943
2,bracket_black,A1_G,16,bracket_black/test/good/016.png,0,normal_image,0,1024,0.011209727206733078,0.0004248172044754029,0.0032123997807502747,0.007968932390213013,0.015994369983673096,0.032784725725650755,0.0,0.08887526392936707
2,bracket_black,A1_G,17,bracket_black/test/good/017.png,0,normal_image,0,1024,0.012550404528155923,0.00022400021553039556,0.003283888101577759,0.008832603693008423,0.017819859087467194,0.03627972453832624,0.0,0.10156583786010742
2,bracket_black,A1_G,18,bracket_black/test/good/018.png,0,normal_image,0,1024,0.010771367873530835,0.00018057823181152346,0.0029716864228248596,0.007219433784484863,0.014848582446575165,0.03334441483020782,0.0,0.09508317708969116
2,bracket_black,A1_G,19,bracket_black/test/good/019.png,0,normal_image,0,1024,0.012671518925344571,0.0006449177861213685,0.0036092549562454224,0.0093764066696167,0.01789981871843338,0.038033910095691674,0.0,0.09681889414787292
2,bracket_black,A1_G,20,bracket_black/test/good/020.png,0,normal_image,0,1024,0.014063921116758138,0.0009205326437950136,0.0045533329248428345,0.010269448161125183,0.01889168471097946,0.040621857345104186,0.0,0.07782125473022461
2,bracket_black,A1_G,21,bracket_black/test/good/021.png,0,normal_image,0,1024,0.011513663659570739,0.00010926574468612672,0.0027887001633644104,0.007896006107330322,0.016656234860420227,0.03482164740562436,0.0,0.08009818196296692
