claim_id,claim,experiment_status,hypothesis_support,evidence_artifact,statistic,note
I1,新增视觉表征（S 或第二 DINOv2 副本）的收益，在独立匹配下与共同匹配下不同（I_TRI/I_BAL ≠ 0）,completed,partial,NEW/02_interaction/interaction_aggregate.csv,"{""mpdd|I_TRI"": {""point"": ""0.007721134215031747"", ""mean"": ""0.007624361410800091"", ""ci95"": ""[0.004255086524111886, 0.011181574814542274]"", ""ci9875"": ""[0.003460352074943862, 0.01211410088527157]"", ""excludes_zero_95"": ""True"", ""reaches_scale"": ""True""}, ""mpdd|I_BAL"": {""point"": ""0.005954790261502886"", ""mean"": ""0.006153887625480011"", ""ci95"": ""[0.003216078832111455, 0.009270959127387133]"", ""ci9875"": ""[0.0018853506624125133, 0.010295737927010573]"", ""excludes_zero_95"": ""True"", ""reaches_scale"": ""True""}, ""btad|I_TRI"": {""point"": ""-0.0004962528649813114"", ""mean"": ""-0.0002074859568708924"", ""ci95"": ""[-0.0019225034150954041, 0.0018614765539993498]"", ""ci9875"": ""[-0.0023502275667551305, 0.0024375756258426784]"", ""excludes_zero_95"": ""False"", ""reaches_scale"": ""False""}, ""btad|I_BAL"": {""point"": ""-0.0011939279267075692"", ""mean"": ""-0.0008945533002541816"", ""ci95"": ""[-0.002646938053833799, 0.0010981250055932526]"", ""ci9875"": ""[-0.0030576761819405586, 0.0016658564757838403]"", ""excludes_zero_95"": ""False"", ""reaches_scale"": ""False""}}",I>0 只表示独立匹配让表征替换的损失更小；E 本身另列，不能合并成一个成功标签
I2,交互效应在 MPDD 与 BTAD 上同号,completed,unsupported,NEW/02_interaction/interaction_aggregate.csv,"{""mpdd|I_TRI"": ""0.007624361410800091"", ""mpdd|I_BAL"": ""0.006153887625480011"", ""btad|I_TRI"": ""-0.0002074859568708924"", ""btad|I_BAL"": ""-0.0008945533002541816""}",两数据集单独报告，不合并成一个总体
I3,交互效应达到 0.005 宏 pixel AP 的实用尺度,completed,partial,NEW/02_interaction/interaction_aggregate.csv,"{""mpdd|I_TRI"": ""True"", ""mpdd|I_BAL"": ""True"", ""btad|I_TRI"": ""False"", ""btad|I_BAL"": ""False""}",达到尺度与统计显著分开评价
I8,换用 WideResNet50-2 分支后交互变大：直接检验 S 与 D 两项交互的差值,completed,partial,NEW/04_new_encoder/encoder_difference.csv,"{""mpdd|I_TRI_D - I_TRI"": {""difference"": ""0.00325569901553869"", ""ci95"": [""-0.001928553579893591"", ""0.00933531101405887""], ""excludes_zero"": ""False"", ""stride1_point_difference"": ""0.0026398199414544438""}, ""mpdd|I_BAL_D - I_BAL"": {""difference"": ""0.0013890072385434747"", ""ci95"": [""-0.002764388244653583"", ""0.0065024637352281995""], ""excludes_zero"": ""False"", ""stride1_point_difference"": ""0.0007494581678871015""}, ""btad|I_TRI_D - I_TRI"": {""difference"": ""0.006027664672161995"", ""ci95"": [""0.0032594584821576964"", ""0.008756405067387429""], ""excludes_zero"": ""True"", ""stride1_point_difference"": ""0.006158956965325646""}, ""btad|I_BAL_D - I_BAL"": {""difference"": ""0.005758976652526528"", ""ci95"": [""0.002754522486717146"", ""0.009491223892092995""], ""excludes_zero"": ""True"", ""stride1_point_difference"": ""0.005751032146685375""}}",同条件配对（seed 0/1 x K 1/4），差值在复制内相减后再取分位数；四种组合构成一个家族，同时报 95% 与 98.75% 区间。只有显著的那些才允许说'更大'
I4,交互效应在全像素（stride-1）口径下保持方向,completed,supported,NEW/03_robustness/interaction_stride_sensitivity.csv,sign_differences=0,全像素只给点估计；若要声称显著必须另算区间
I5,交互效应不由单一类别驱动（留一类不变号）,completed,partial,NEW/03_robustness/interaction_leave_one_category_out.csv,sign_flips=1; datasets=['btad'],不复用旧 A1 的留一类结果替代新交互的检查；某一数据集变号即降低该主张的强度
I6,交互效应在每一类、每个 K 上都被报告，而不是挑端点,completed,descriptive,NEW/03_robustness/interaction_per_category.csv; NEW/03_robustness/interaction_K_curve.csv,per_category_rows=24,跨 K 交互差为次要探索，不升级为主假说
I7,换一个非 DINOv2 的视觉编码器（WideResNet50-2）后交互仍然复现,completed,supported,NEW/04_new_encoder/interaction_new_encoder.csv,"{""mpdd|study|I_TRI_D"": {""point"": 0.009736654303729997, ""mean"": 0.01020447401959265, ""ci95"": [0.006015345919860121, 0.014717621006207427], ""ci9875"": [0.005136088501626534, 0.016887566757780373], ""conditions"": 4}, ""mpdd|study|I_BAL_D"": {""point"": 0.006284159533464229, ""mean"": 0.0068585612151054855, ""ci95"": [0.0027875161330798647, 0.012182193036272257], ""ci9875"": [0.001623819026713348, 0.013944361088120893], ""conditions"": 4}, ""btad|corrected|I_TRI_D"": {""point"": 0.0062192514187020265, ""mean"": 0.006314626223621986, ""ci95"": [0.003733548562649305, 0.009174510029621111], ""ci9875"": [0.0029813446669314804, 0.01002763316638257], ""conditions"": 4}, ""btad|corrected|I_BAL_D"": {""point"": 0.005012147241435255, ""mean"": 0.005238034469989172, ""ci95"": [0.0023877728208764877, 0.008827992083292229], ""ci9875"": [0.0018828184352207371, 0.009948754123030312], ""conditions"": 4}, ""btad|study|I_TRI_D"": {""point"": 0.006042209414347438, ""mean"": 0.006143214383027379, ""ci95"": [0.0035150760097699845, 0.009108388081327214], ""ci9875"": [0.00278004507518117, 0.009849167288628386], ""conditions"": 4}, ""btad|study|I_BAL_D"": {""point"": 0.004511515937853761, ""mean"": 0.004704138243089523, ""ci95"": [0.001939351124227453, 0.007907603806526642], ""ci9875"": [0.0013848293600345256, 0.009210358051763448], ""conditions"": 4}}",预先固定的编码器迁移检查；测试数据已被使用过，不能称为未见数据集确认。范围仅 seed0/1、K1/4。四个主要数据集×对照组合的区间都不含零
I9,新分支的交互与新增表征收益在全像素（stride-1）口径下同样成立,completed,supported,NEW/04_new_encoder/interaction_fullpixel_new_encoder.csv,"{""mpdd|study|I_TRI_D"": {""stride1_point"": ""0.010326134527503389"", ""stride8_point"": ""0.009736654303729997"", ""stride8_replicate_mean"": ""0.01020447401959265""}, ""mpdd|study|I_BAL_D"": {""stride1_point"": ""0.006944750441953543"", ""stride8_point"": ""0.006284159533464229"", ""stride8_replicate_mean"": ""0.0068585612151054855""}, ""btad|corrected|I_TRI_D"": {""stride1_point"": ""0.006236800588334285"", ""stride8_point"": ""0.0062192514187020265"", ""stride8_replicate_mean"": ""0.006314626223621986""}, ""btad|corrected|I_BAL_D"": {""stride1_point"": ""0.004956309028102457"", ""stride8_point"": ""0.005012147241435255"", ""stride8_replicate_mean"": ""0.005238034469989172""}, ""btad|study|I_TRI_D"": {""stride1_point"": ""0.005977098933532876"", ""stride8_point"": ""0.006042209414347438"", ""stride8_replicate_mean"": ""0.006143214383027379""}, ""btad|study|I_BAL_D"": {""stride1_point"": ""0.004366584141387464"", ""stride8_point"": ""0.004511515937853761"", ""stride8_replicate_mean"": ""0.004704138243089523""}}",新分支此前只有抽样像素评价；此处用 study 同款 resize+σ=4 补齐全像素点估计，并以 A1 对照对旧全像素表做复现校验（见 S6_SUMMARY.json 的 replication_check）
B1,经合理配置与统一评价后，受控融合的竞争力可以与成熟基线比较,completed,descriptive,NEW/05_baselines/baseline_common_region.csv; NEW/05_baselines/baseline_common_region_summary.csv,"{""common_region_rows"": 216, ""summary_rows"": 48, ""summary_rows_note"": ""216 = method x dataset x seed x shot x category; 48 = method x dataset x seed x shot""}",PatchCore 的中心裁剪预测不再被拉伸到整张画布；共同有效区域取各方法真实覆盖矩形的交集，所有方法重采样到同一像素集后比较。仍不据此宣称击败强基线
