dataset,seed,shot,group,contrast,n_categories,macro_point_delta,note
mvtec,0,1,small,A1_L - A1_J,9,0.0018888532065915022,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,small,TRI_L - TRI_J,9,0.0008943870009903863,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,small,BAL_L - BAL_J,9,-0.0003962559379224215,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,small,DUP_L - DUP_J,9,8.1189706527312e-05,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,small,DUP_J - A1_J,9,-0.01155335453537167,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,small,TRI_J - DUP_J,9,0.02986112266107431,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,small,TRI_L - DUP_L,9,0.030674319955537384,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,small,BAL_J - A1_J,9,0.019733461046998184,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,small,BAL_L - A1_L,9,0.017448351902484262,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,large,A1_L - A1_J,14,0.0004221903046095924,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,large,TRI_L - TRI_J,14,0.004262805093936312,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,large,BAL_L - BAL_J,14,0.0056358955840703495,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,large,DUP_L - DUP_J,14,-0.0011770897888057313,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,large,DUP_J - A1_J,14,-0.011268540600720063,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,large,TRI_J - DUP_J,14,0.024265766807298132,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,large,TRI_L - DUP_L,14,0.029705661690040176,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,large,BAL_J - A1_J,14,0.017785867092541468,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,1,large,BAL_L - A1_L,14,0.022999572372002227,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,2,small,A1_L - A1_J,9,0.0031567266954315165,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,2,small,TRI_L - TRI_J,9,0.00587760219212106,"subgroup pooled AP; exploratory point estimate, no interval"
mvtec,0,2,small,BAL_L - BAL_J,9,0.0029458015980410746,"subgroup pooled AP; exploratory point estimate, no interval"
