dataset,seed,shot,category,group,area_ratio_low,area_ratio_high,n_normal_images,n_abnormal_in_group,descriptive_only
mvtec,0,1,bottle,tiny,0.0,0.001,20,0,True
mvtec,0,1,bottle,small,0.001,0.01,20,3,True
mvtec,0,1,bottle,large,0.01,1.01,20,60,False
mvtec,0,1,cable,tiny,0.0,0.001,58,0,True
mvtec,0,1,cable,small,0.001,0.01,58,7,True
mvtec,0,1,cable,large,0.01,1.01,58,85,False
mvtec,0,1,capsule,tiny,0.0,0.001,23,7,True
mvtec,0,1,capsule,small,0.001,0.01,23,78,False
mvtec,0,1,capsule,large,0.01,1.01,23,24,False
mvtec,0,1,carpet,tiny,0.0,0.001,28,0,True
mvtec,0,1,carpet,small,0.001,0.01,28,37,False
mvtec,0,1,carpet,large,0.01,1.01,28,52,False
mvtec,0,1,grid,tiny,0.0,0.001,21,0,True
mvtec,0,1,grid,small,0.001,0.01,21,39,False
mvtec,0,1,grid,large,0.01,1.01,21,18,False
mvtec,0,1,hazelnut,tiny,0.0,0.001,40,0,True
mvtec,0,1,hazelnut,small,0.001,0.01,40,18,False
mvtec,0,1,hazelnut,large,0.01,1.01,40,52,False
mvtec,0,1,leather,tiny,0.0,0.001,32,1,True
mvtec,0,1,leather,small,0.001,0.01,32,69,False
mvtec,0,1,leather,large,0.01,1.01,32,22,False
mvtec,0,1,metal_nut,tiny,0.0,0.001,22,0,True
mvtec,0,1,metal_nut,small,0.001,0.01,22,7,True
mvtec,0,1,metal_nut,large,0.01,1.01,22,86,False
mvtec,0,1,pill,tiny,0.0,0.001,26,7,True
mvtec,0,1,pill,small,0.001,0.01,26,61,False
mvtec,0,1,pill,large,0.01,1.01,26,73,False
mvtec,0,1,screw,tiny,0.0,0.001,41,1,True
mvtec,0,1,screw,small,0.001,0.01,41,117,False
mvtec,0,1,screw,large,0.01,1.01,41,1,True
mvtec,0,1,tile,tiny,0.0,0.001,33,0,True
mvtec,0,1,tile,small,0.001,0.01,33,2,True
mvtec,0,1,tile,large,0.01,1.01,33,82,False
mvtec,0,1,toothbrush,tiny,0.0,0.001,12,0,True
mvtec,0,1,toothbrush,small,0.001,0.01,12,15,False
mvtec,0,1,toothbrush,large,0.01,1.01,12,15,False
mvtec,0,1,transistor,tiny,0.0,0.001,60,0,True
mvtec,0,1,transistor,small,0.001,0.01,60,6,True
mvtec,0,1,transistor,large,0.01,1.01,60,34,False
mvtec,0,1,wood,tiny,0.0,0.001,19,0,True
mvtec,0,1,wood,small,0.001,0.01,19,8,True
mvtec,0,1,wood,large,0.01,1.01,19,52,False
mvtec,0,1,zipper,tiny,0.0,0.001,32,0,True
mvtec,0,1,zipper,small,0.001,0.01,32,16,False
mvtec,0,1,zipper,large,0.01,1.01,32,103,False
mvtec,0,2,bottle,tiny,0.0,0.001,20,0,True
mvtec,0,2,bottle,small,0.001,0.01,20,3,True
mvtec,0,2,bottle,large,0.01,1.01,20,60,False
mvtec,0,2,cable,tiny,0.0,0.001,58,0,True
mvtec,0,2,cable,small,0.001,0.01,58,7,True
mvtec,0,2,cable,large,0.01,1.01,58,85,False
mvtec,0,2,capsule,tiny,0.0,0.001,23,7,True
mvtec,0,2,capsule,small,0.001,0.01,23,78,False
mvtec,0,2,capsule,large,0.01,1.01,23,24,False
mvtec,0,2,carpet,tiny,0.0,0.001,28,0,True
mvtec,0,2,carpet,small,0.001,0.01,28,37,False
mvtec,0,2,carpet,large,0.01,1.01,28,52,False
mvtec,0,2,grid,tiny,0.0,0.001,21,0,True
mvtec,0,2,grid,small,0.001,0.01,21,39,False
mvtec,0,2,grid,large,0.01,1.01,21,18,False
mvtec,0,2,hazelnut,tiny,0.0,0.001,40,0,True
mvtec,0,2,hazelnut,small,0.001,0.01,40,18,False
mvtec,0,2,hazelnut,large,0.01,1.01,40,52,False
mvtec,0,2,leather,tiny,0.0,0.001,32,1,True
mvtec,0,2,leather,small,0.001,0.01,32,69,False
mvtec,0,2,leather,large,0.01,1.01,32,22,False
mvtec,0,2,metal_nut,tiny,0.0,0.001,22,0,True
mvtec,0,2,metal_nut,small,0.001,0.01,22,7,True
mvtec,0,2,metal_nut,large,0.01,1.01,22,86,False
mvtec,0,2,pill,tiny,0.0,0.001,26,7,True
mvtec,0,2,pill,small,0.001,0.01,26,61,False
mvtec,0,2,pill,large,0.01,1.01,26,73,False
mvtec,0,2,screw,tiny,0.0,0.001,41,1,True
mvtec,0,2,screw,small,0.001,0.01,41,117,False
mvtec,0,2,screw,large,0.01,1.01,41,1,True
mvtec,0,2,tile,tiny,0.0,0.001,33,0,True
mvtec,0,2,tile,small,0.001,0.01,33,2,True
mvtec,0,2,tile,large,0.01,1.01,33,82,False
mvtec,0,2,toothbrush,tiny,0.0,0.001,12,0,True
mvtec,0,2,toothbrush,small,0.001,0.01,12,15,False
mvtec,0,2,toothbrush,large,0.01,1.01,12,15,False
mvtec,0,2,transistor,tiny,0.0,0.001,60,0,True
mvtec,0,2,transistor,small,0.001,0.01,60,6,True
mvtec,0,2,transistor,large,0.01,1.01,60,34,False
mvtec,0,2,wood,tiny,0.0,0.001,19,0,True
mvtec,0,2,wood,small,0.001,0.01,19,8,True
mvtec,0,2,wood,large,0.01,1.01,19,52,False
mvtec,0,2,zipper,tiny,0.0,0.001,32,0,True
mvtec,0,2,zipper,small,0.001,0.01,32,16,False
mvtec,0,2,zipper,large,0.01,1.01,32,103,False
mvtec,0,4,bottle,tiny,0.0,0.001,20,0,True
mvtec,0,4,bottle,small,0.001,0.01,20,3,True
mvtec,0,4,bottle,large,0.01,1.01,20,60,False
mvtec,0,4,cable,tiny,0.0,0.001,58,0,True
mvtec,0,4,cable,small,0.001,0.01,58,7,True
mvtec,0,4,cable,large,0.01,1.01,58,85,False
mvtec,0,4,capsule,tiny,0.0,0.001,23,7,True
mvtec,0,4,capsule,small,0.001,0.01,23,78,False
