method,image_index,sample_id,label,image_max,pixel_ap
B,0,bracket_black/test/good/000.png,0,0.3822164833545685,
B,1,bracket_black/test/good/001.png,0,0.5643054842948914,
B,2,bracket_black/test/good/002.png,0,0.3424009382724762,
B,3,bracket_black/test/good/003.png,0,0.3517177700996399,
B,4,bracket_black/test/good/004.png,0,0.41142719984054565,
B,5,bracket_black/test/good/005.png,0,0.3476535975933075,
B,6,bracket_black/test/good/006.png,0,0.5078578591346741,
B,7,bracket_black/test/good/007.png,0,0.5703943371772766,
B,8,bracket_black/test/good/008.png,0,0.4438337981700897,
B,9,bracket_black/test/good/009.png,0,0.4659244418144226,
B,10,bracket_black/test/good/010.png,0,0.5489863753318787,
B,11,bracket_black/test/good/011.png,0,0.4263248145580292,
B,12,bracket_black/test/good/012.png,0,0.5766693353652954,
B,13,bracket_black/test/good/013.png,0,0.5803043246269226,
B,14,bracket_black/test/good/014.png,0,0.3830660283565521,
B,15,bracket_black/test/good/015.png,0,0.34398791193962097,
B,16,bracket_black/test/good/016.png,0,0.363415390253067,
B,17,bracket_black/test/good/017.png,0,0.5343778729438782,
B,18,bracket_black/test/good/018.png,0,0.47194674611091614,
B,19,bracket_black/test/good/019.png,0,0.4922548234462738,
B,20,bracket_black/test/good/020.png,0,0.5439147353172302,
B,21,bracket_black/test/good/021.png,0,0.5036243796348572,
B,22,bracket_black/test/good/022.png,0,0.5031347274780273,
B,23,bracket_black/test/good/023.png,0,0.4073321521282196,
B,24,bracket_black/test/good/024.png,0,0.5699198842048645,
B,25,bracket_black/test/good/025.png,0,0.5911625623703003,
B,26,bracket_black/test/good/026.png,0,0.44486138224601746,
B,27,bracket_black/test/good/027.png,0,0.362265408039093,
B,28,bracket_black/test/good/028.png,0,0.5463879108428955,
B,29,bracket_black/test/good/029.png,0,0.4207051396369934,
B,30,bracket_black/test/good/030.png,0,0.46112123131752014,
B,31,bracket_black/test/good/031.png,0,0.37573084235191345,
B,32,bracket_black/test/hole/000.png,1,0.378324955701828,0.05570535592940646
B,33,bracket_black/test/hole/001.png,1,0.4282376170158386,0.2281324600400749
B,34,bracket_black/test/hole/002.png,1,0.5139567852020264,0.0421318347728669
B,35,bracket_black/test/hole/003.png,1,0.43181607127189636,0.005606174639959022
B,36,bracket_black/test/hole/004.png,1,0.4524540603160858,0.0019860778613771087
B,37,bracket_black/test/hole/005.png,1,0.4291820526123047,0.021426242156072698
B,38,bracket_black/test/hole/006.png,1,0.5407487154006958,0.02675150519978106
B,39,bracket_black/test/hole/007.png,1,0.5167202353477478,0.03467417887851076
B,40,bracket_black/test/hole/008.png,1,0.44687536358833313,0.04480451480581289
B,41,bracket_black/test/hole/009.png,1,0.476093590259552,0.009878982437455837
B,42,bracket_black/test/hole/010.png,1,0.3519468903541565,0.006542994729826461
B,43,bracket_black/test/hole/011.png,1,0.4295180141925812,0.028934772388882965
B,44,bracket_black/test/scratches/000.png,1,0.4566546380519867,0.05756606869222969
B,45,bracket_black/test/scratches/001.png,1,0.4729377031326294,0.5114715531382198
B,46,bracket_black/test/scratches/002.png,1,0.526954710483551,0.5679344465058751
B,47,bracket_black/test/scratches/003.png,1,0.5840460658073425,0.7965593434343434
