method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,cable/test/bent_wire/000.png,1,abnormal_normal,32x32,22,979,0.013343599466064733,0.0003049939870834352,0.004932984709739685,0.011274933815002441,0.019318565726280212,0.034366285800933816,0.0,0.07554388046264648
A1_G,0,cable/test/bent_wire/000.png,1,defect,32x32,22,45,0.02390422026316325,0.006921392679214477,0.01542198657989502,0.021557897329330444,0.03012371063232422,0.04746397733688352,0.004239886999130249,0.06529903411865234
A1_G,0,cable/test/bent_wire/000.png,1,clean_defect,32x32,22,23,0.020939341057901798,0.006913965940475464,0.016401737928390503,0.02124875783920288,0.02830246090888977,0.03198643624782562,0.004239886999130249,0.03262811899185181
A1_G,0,cable/test/bent_wire/000.png,1,boundary,32x32,22,22,0.027003866705027493,0.007694843411445618,0.015491150319576263,0.02588832378387451,0.03068137913942337,0.06433347910642623,0.0045341551303863525,0.06529903411865234
A1_G,1,cable/test/bent_wire/001.png,1,abnormal_normal,32x32,10,997,0.013660670522462162,0.0005441844463348392,0.005384564399719238,0.01109379529953003,0.018833249807357788,0.03470952510833739,0.0,0.13444063067436218
A1_G,1,cable/test/bent_wire/001.png,1,defect,32x32,10,27,0.027391253798096267,0.013589423894882203,0.021378129720687866,0.02855241298675537,0.03530336916446686,0.03917987942695617,0.005484431982040405,0.040375351905822754
A1_G,1,cable/test/bent_wire/001.png,1,clean_defect,32x32,10,17,0.029864163959727567,0.016369837522506713,0.02802199125289917,0.030407339334487915,0.03584817051887512,0.038397896289825435,0.014458268880844116,0.03964906930923462
A1_G,1,cable/test/bent_wire/001.png,1,boundary,32x32,10,10,0.02318730652332306,0.008964115381240844,0.015579037368297577,0.021378129720687866,0.032372355461120605,0.038382175564765926,0.005484431982040405,0.040375351905822754
A1_G,2,cable/test/bent_wire/002.png,1,abnormal_normal,32x32,19,970,0.013667056363882478,0.0003175511956214905,0.004638358950614929,0.010416477918624878,0.01928137242794037,0.037314179539680456,0.0,0.08526885509490967
A1_G,2,cable/test/bent_wire/002.png,1,defect,32x32,19,54,0.017235500393090426,0.0021163940429687503,0.010762624442577362,0.016111403703689575,0.024183429777622223,0.031992502510547624,0.0,0.03637722134590149
A1_G,2,cable/test/bent_wire/002.png,1,clean_defect,32x32,19,35,0.01709829568862915,0.00651906430721283,0.01223050057888031,0.01580047607421875,0.019913718104362488,0.03360471725463867,0.0016852617263793945,0.03637722134590149
A1_G,2,cable/test/bent_wire/002.png,1,boundary,32x32,19,19,0.017488245901308562,0.0013188958168029786,0.009891405701637268,0.019570857286453247,0.026244431734085083,0.030808466672897338,0.0,0.03108811378479004
A1_G,3,cable/test/bent_wire/003.png,1,abnormal_normal,32x32,14,998,0.013908759177567247,0.00018117874860763554,0.004863761365413666,0.010902449488639832,0.020049981772899628,0.03653031289577484,0.0,0.07681837677955627
A1_G,3,cable/test/bent_wire/003.png,1,defect,32x32,14,26,0.023217119849645175,0.008211471140384674,0.01791176199913025,0.0235530287027359,0.02890106290578842,0.036150529980659485,0.005653172731399536,0.03950190544128418
A1_G,3,cable/test/bent_wire/003.png,1,clean_defect,32x32,14,12,0.024549042185147602,0.017224706709384918,0.021158374845981598,0.022460713982582092,0.02655906230211258,0.03555455803871154,0.01651865243911743,0.03950190544128418
A1_G,3,cable/test/bent_wire/003.png,1,boundary,32x32,14,14,0.022075472133500234,0.006261670589447021,0.015339307487010956,0.024883002042770386,0.02890106290578842,0.034250929951667786,0.005653172731399536,0.0373377799987793
A1_G,4,cable/test/bent_wire/004.png,1,abnormal_normal,32x32,28,961,0.014634737301071277,0.0011097490787506104,0.0055075883865356445,0.011972755193710327,0.020468920469284058,0.03827768564224243,0.0,0.11060038208961487
A1_G,4,cable/test/bent_wire/004.png,1,defect,32x32,28,63,0.02683464969907488,0.007317599654197693,0.018897727131843567,0.026999056339263916,0.032546043395996094,0.04689705371856689,0.0022185146808624268,0.08479481935501099
A1_G,4,cable/test/bent_wire/004.png,1,clean_defect,32x32,28,35,0.025316395929881504,0.006879857182502747,0.02011170983314514,0.026402801275253296,0.03062988817691803,0.04079984128475189,0.0022185146808624268,0.05529552698135376
A1_G,4,cable/test/bent_wire/004.png,1,boundary,32x32,28,28,0.028732466910566603,0.008228515088558198,0.016496524214744568,0.02776607871055603,0.03568192571401596,0.05630833357572554,0.006110012531280518,0.08479481935501099
