dataset,category,seed,grid,n_query,n_ref,dim,query_sha256,ref_sha256,ref_shape,query_encoded,ref_encoded,reused,query_seconds,ref_seconds,query_shape,features_dir,created_utc
btad,01,0,"[32, 32]",70,8,576,76c0c352dc0978da36eaa1d58d9604417e429e9f67a89dd2da1907496d03c3ac,1b9a12f32ef6d8c3eeb863b6e078406bcd18af2cf553a50d97f01461a80140b0,"[8, 32, 32, 576]",False,False,True,,,"[70, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E3\features,2026-09-18T22:14:26.688629+00:00
btad,01,1,"[32, 32]",70,8,576,76c0c352dc0978da36eaa1d58d9604417e429e9f67a89dd2da1907496d03c3ac,d666d39028aa18eb082f9b88ff7840962f38a4b10ce3f579e75848151e8e22d7,"[8, 32, 32, 576]",False,False,True,,,"[70, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E3\features,2026-09-18T22:14:26.913931+00:00
btad,01,2,"[32, 32]",70,8,576,76c0c352dc0978da36eaa1d58d9604417e429e9f67a89dd2da1907496d03c3ac,3cb17f46a909d88600c6ae90b57a538cad133b1e776052c3c11011a8e62fdfef,"[8, 32, 32, 576]",False,False,True,,,"[70, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E3\features,2026-09-18T22:14:27.130066+00:00
btad,02,0,"[32, 32]",230,8,576,761e13b2c57cb22089d89834aa91bc96777760129255f04215f5657efab3c62e,7341250e421a6af986698828d804b33a5f62c1d966df2c21a4aebcd1becc7543,"[8, 32, 32, 576]",False,False,True,,,"[230, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E3\features,2026-09-18T22:14:27.780395+00:00
btad,02,1,"[32, 32]",230,8,576,761e13b2c57cb22089d89834aa91bc96777760129255f04215f5657efab3c62e,282e19838b8f8be61ada56d7a95c8796498dc746b761838d47af2f016fe971ea,"[8, 32, 32, 576]",False,False,True,,,"[230, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E3\features,2026-09-18T22:14:28.469133+00:00
btad,02,2,"[32, 32]",230,8,576,761e13b2c57cb22089d89834aa91bc96777760129255f04215f5657efab3c62e,10d292963355a25295952fc5ed5e2ec1eb6b52bae13cb1a15000fcbb070b5571,"[8, 32, 32, 576]",False,False,True,,,"[230, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E3\features,2026-09-18T22:14:29.147359+00:00
btad,03,0,"[32, 42]",441,8,576,f685ef874d1ae2e3f23dc6e0730a6e9355c21514850837f70029edcd37cd673e,c7ca06da3cc05736e2c1bcd9a56dc68d78bb4548dba33aaa3e2ba64cbadc5cfe,"[8, 32, 42, 576]",False,False,True,,,"[441, 32, 42, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E3\features,2026-09-18T22:14:30.700711+00:00
btad,03,1,"[32, 42]",441,8,576,f685ef874d1ae2e3f23dc6e0730a6e9355c21514850837f70029edcd37cd673e,1af5536e3a2e0e8f555ffaf7d547b59f725c05a1fe8d502153c248c332d65b6e,"[8, 32, 42, 576]",False,False,True,,,"[441, 32, 42, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E3\features,2026-09-18T22:14:32.370472+00:00
btad,03,2,"[32, 42]",441,8,576,f685ef874d1ae2e3f23dc6e0730a6e9355c21514850837f70029edcd37cd673e,dbf3953d2e509e275e9b9670060796995418bbcfbf7aae27220bb23d63811717,"[8, 32, 42, 576]",False,False,True,,,"[441, 32, 42, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E3\features,2026-09-18T22:14:34.071779+00:00
mpdd,bracket_black,0,"[32, 32]",79,8,576,46ab60cd98676811530d01ce537ed4a54660eeabfd2fc0136cec2f056fa59dd2,af6ad7902d644011b021ba4307bbe73dc501cb6afad13fab8af1bd8b83a88aad,"[8, 32, 32, 576]",False,False,True,,,"[79, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E3\features,2026-09-18T22:14:34.314719+00:00
