claim_id,claim,figure_table,source
C1,独立选参考优于共同选参考,fig3_kl_curves.png; 主推断表 MAIN_INFERENCE_RECONCILIATION.csv,01_statistics/AGGREGATED_EFFECTS.csv
C2,复制分支改变权重会变差,fig2_aggregated_effects.png（左）,01_statistics/AGGREGATED_EFFECTS.csv
C3,新增视觉表征的收益依赖数据集,fig2_aggregated_effects.png（右）,01_statistics/AGGREGATED_EFFECTS.csv
C4,K 无统一规律,fig3_kl_curves.png,R/p1_statistics/matching_effect_curve.csv
C5,类别条件与留一类别,fig4_category_conditions.png,R/p2_conditions/leave_one_category_out.csv
C6,缺陷面积分组的描述性差异（附录）,附录表,R/p2_conditions/defect_size_contrasts.csv
C7,全像素方向（含一处反转反例）,00_audit/STRIDE_SENSITIVITY.csv,R/p4_fullpixel/stride1_vs_stride8.csv
C8,BTAD 三类冻结复核,fig3_kl_curves.png（btad 面板）,R/p3_external/
C9,与原生 AnomalyDINO/PatchCore 的性能参照,02_baselines/baseline_macro.csv,02_baselines/
C10,文献差异,03_paper/literature_difference_verified.md,03_paper/
C11,裁剪画布上的归一化对齐与 BTAD-03 掩码口径,附录表 04_recheck/btad03_mask_variants.csv,00_audit/
