dataset,category,seed,grid,n_query,n_ref,query_sha256,ref_sha256,query_encoded,ref_encoded,query_seconds,ref_seconds,query_shape,ref_shape,reused
mpdd,bracket_black,0,"[32, 32]",79,8,226972334a124947e7b5e1bb685fa590b03061637be991f5bde08717cb98f816,cc04f7d7d01b12d854445f1532a112ea9a3a3f854a971e6c84f898338e5c49c1,False,False,,,"[79, 32, 32, 1536]","[8, 32, 32, 1536]",True
mpdd,bracket_black,1,"[32, 32]",79,8,226972334a124947e7b5e1bb685fa590b03061637be991f5bde08717cb98f816,1a38360fa7bd8d9f12b79373f9b32782ebfcab6c40af974ce7d8058b70a1ea66,False,True,,0.8,"[79, 32, 32, 1536]","[8, 32, 32, 1536]",False
mpdd,bracket_brown,0,"[32, 32]",77,8,77ded2b955e580acb777ef6ea2e95f349cb7671e9bfd3b800c1ac23538f6a326,9a2eb4cd1e963bb154a04239db27668eb5f28d4d458fef72a809627f8d221e9e,True,True,4.39,0.47,"[77, 32, 32, 1536]","[8, 32, 32, 1536]",False
mpdd,bracket_brown,1,"[32, 32]",77,8,77ded2b955e580acb777ef6ea2e95f349cb7671e9bfd3b800c1ac23538f6a326,a70bf4a19c27098c326eb8dcd35560f1d3bb5bde1a0d02d37230ea99363b1085,False,True,,0.5,"[77, 32, 32, 1536]","[8, 32, 32, 1536]",False
mpdd,bracket_white,0,"[32, 32]",60,8,e4b34dbc26a93875bc6b351ae716721fbf82228a4342e2932862afffc3a2b397,d3a3a460061627a17f6a5097abfe7a735e688ccbba7d4a9e1b8bdd782c7f6444,True,True,3.41,0.48,"[60, 32, 32, 1536]","[8, 32, 32, 1536]",False
mpdd,bracket_white,1,"[32, 32]",60,8,e4b34dbc26a93875bc6b351ae716721fbf82228a4342e2932862afffc3a2b397,427b25b7fab0b8347a75bf2189c7ddb26367e7a91d6f0b40b3d30a1b25d473e4,False,True,,0.5,"[60, 32, 32, 1536]","[8, 32, 32, 1536]",False
mpdd,connector,0,"[32, 32]",44,8,6a6eb0b0dcfe838dadce71ac22ad663790ebb169b15ee3e42c7d94fce402b969,96ce6c1b9ee586838ee931c9c6b8ef2975da2c1224d576bfaed7df2cbf65cf0c,True,True,2.52,0.48,"[44, 32, 32, 1536]","[8, 32, 32, 1536]",False
mpdd,connector,1,"[32, 32]",44,8,6a6eb0b0dcfe838dadce71ac22ad663790ebb169b15ee3e42c7d94fce402b969,4aa6af9d990a254e42027f42b5bca52fd99d3845f99e81526994de01b406b8ab,False,True,,0.47,"[44, 32, 32, 1536]","[8, 32, 32, 1536]",False
mpdd,metal_plate,0,"[32, 32]",97,8,4e368fdb81d0fefd3ca7713c1c910014266736028ce2aa3da7ad1990543bfccf,aa412979542f733665b2a0ee5c3e55683b9b0957de6f74c0fa64608f55dc7cee,True,True,5.19,0.45,"[97, 32, 32, 1536]","[8, 32, 32, 1536]",False
mpdd,metal_plate,1,"[32, 32]",97,8,4e368fdb81d0fefd3ca7713c1c910014266736028ce2aa3da7ad1990543bfccf,cb923972de42589d9834a9efd7fcc135e00d45a085a8fdc398edea29d28a11d4,False,True,,0.49,"[97, 32, 32, 1536]","[8, 32, 32, 1536]",False
mpdd,tubes,0,"[32, 32]",101,8,d0afb928118bebc161df42a5df99da6d73e0cc3901aa34150cbdd57a2ae87e6f,151f2ddbd068b31d05fcf805c13c489fdb5381957f21ff07f7f2425a4a152fb5,True,True,5.9,0.47,"[101, 32, 32, 1536]","[8, 32, 32, 1536]",False
mpdd,tubes,1,"[32, 32]",101,8,d0afb928118bebc161df42a5df99da6d73e0cc3901aa34150cbdd57a2ae87e6f,678d2de2a752f8f4f9af6d89675f1f82e14c8b438ed89deaea00840619e677e4,False,True,,0.51,"[101, 32, 32, 1536]","[8, 32, 32, 1536]",False
btad,01,0,"[32, 32]",70,8,deb64b2dc69475db55be75dcc4b5211ee886ae5a9abc85f8cd4393e7fbca7afa,dfff707900894c4c51a6d283e6c4fded5ab0610947113d7010548fb1f55d884f,True,True,3.94,0.5,"[70, 32, 32, 1536]","[8, 32, 32, 1536]",False
btad,01,1,"[32, 32]",70,8,deb64b2dc69475db55be75dcc4b5211ee886ae5a9abc85f8cd4393e7fbca7afa,b925360753ae4350d39590ebcd7760f7e6f5d9bb40d806dfa3b81f7504581db2,False,True,,0.52,"[70, 32, 32, 1536]","[8, 32, 32, 1536]",False
btad,02,0,"[32, 32]",230,8,774fcccc1f6526a7702cef0d1e8eadbbe521b691359b29f53b8061316a1b32be,4201c0a01ae9b6b1d36965395ea93c01e1e67f1a322f6c95a48d9cc8f256e753,True,True,8.79,0.34,"[230, 32, 32, 1536]","[8, 32, 32, 1536]",False
btad,02,1,"[32, 32]",230,8,774fcccc1f6526a7702cef0d1e8eadbbe521b691359b29f53b8061316a1b32be,480e69a5599524e61483ed35d0780ab7c9188f5b228d9096ced724a19ed647a7,False,True,,0.37,"[230, 32, 32, 1536]","[8, 32, 32, 1536]",False
btad,03,0,"[32, 42]",441,8,86c6609a71fdfafb3b08a7a0ef8150a4cfa876d7c481fd667a42b9c79e1756f3,ac74997df53abadbbaeb3dbe79cdf7c533af356b2e2664495bb898cbb0928ad2,True,True,21.26,0.44,"[441, 32, 42, 1536]","[8, 32, 42, 1536]",False
btad,03,1,"[32, 42]",441,8,86c6609a71fdfafb3b08a7a0ef8150a4cfa876d7c481fd667a42b9c79e1756f3,d3d7da137fd4d64c9d6b8d6e1d5c1cadafb55c6d2b15e93434a659b122e41442,False,True,,0.47,"[441, 32, 42, 1536]","[8, 32, 42, 1536]",False
