dataset,category,seed,grid,n_query,n_ref,dim,query_sha256,ref_sha256,ref_shape,query_encoded,ref_encoded,reused,query_seconds,ref_seconds,query_shape,features_dir,created_utc
btad,01,0,"[32, 32]",70,8,576,f97813a1ec07e605f475141476297bb187bad3b368cd3d186a3ad468dcf2fa66,6ffa9e216646c51bdcb6d2d7116fb43340e973aea55a37f29cce36c2d123f774,"[8, 32, 32, 576]",False,False,True,,,"[70, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T04:15:47.605261+00:00
btad,01,1,"[32, 32]",70,8,576,f97813a1ec07e605f475141476297bb187bad3b368cd3d186a3ad468dcf2fa66,79fbf4ba86059969a65520944c68944133d222aeecf74603a29101f96af30a39,"[8, 32, 32, 576]",False,False,True,,,"[70, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T04:15:47.833636+00:00
btad,01,2,"[32, 32]",70,8,576,f97813a1ec07e605f475141476297bb187bad3b368cd3d186a3ad468dcf2fa66,c177b1a01648a40a0465bb2e1fc870563937c83854db8d4004f6d1ead4ea69fb,"[8, 32, 32, 576]",False,False,True,,,"[70, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T04:15:48.067073+00:00
btad,02,0,"[32, 32]",230,8,576,54901068e01ce019e1c9c1a8bed5f4d712fd3d1ed932485436eb29075832d77d,2c2c5693e1391f77444147b0eddb8db3eaef8783a6f83cb3d4aefd40e46fc075,"[8, 32, 32, 576]",False,False,True,,,"[230, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T04:15:48.726220+00:00
btad,02,1,"[32, 32]",230,8,576,54901068e01ce019e1c9c1a8bed5f4d712fd3d1ed932485436eb29075832d77d,e1da41fcf02fefdfc2058cb4251ce6cd05e56584fe399b2e1c40e3a1338417cb,"[8, 32, 32, 576]",False,False,True,,,"[230, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T04:15:49.398015+00:00
btad,02,2,"[32, 32]",230,8,576,54901068e01ce019e1c9c1a8bed5f4d712fd3d1ed932485436eb29075832d77d,ee8b7d9eda90f4f5df1c9d957b752b9193dcb9ea8308629a53d06dd5a3a35317,"[8, 32, 32, 576]",False,False,True,,,"[230, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T04:15:50.076448+00:00
btad,03,0,"[32, 42]",441,8,576,49a8dd708e3e8f4a9885a512a9f7f36b16eab974a19f74439e00a6805dc72aa3,b3e4569b9910ea4c06d7ae0902f2a10795ec05f45f57c2b8984568959330f970,"[8, 32, 42, 576]",False,False,True,,,"[441, 32, 42, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T04:15:51.674359+00:00
btad,03,1,"[32, 42]",441,8,576,49a8dd708e3e8f4a9885a512a9f7f36b16eab974a19f74439e00a6805dc72aa3,b0404954fbbc21b74e4392627be7dd4cc2915a9b301f3824e64299758096e17d,"[8, 32, 42, 576]",False,False,True,,,"[441, 32, 42, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T04:15:53.289455+00:00
btad,03,2,"[32, 42]",441,8,576,49a8dd708e3e8f4a9885a512a9f7f36b16eab974a19f74439e00a6805dc72aa3,7853556ad5a5673fc9305d8af4c5fc1e17df616406d0e7a27150fb27720b5586,"[8, 32, 42, 576]",False,False,True,,,"[441, 32, 42, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T04:15:54.923497+00:00
mpdd,bracket_black,0,"[32, 32]",79,8,576,a544b41cd35553b3adf9060f47d051c559657892c5db4a0d34a1437f1a69794d,836a9565587fc23268d0f90c8b0a229c56f402b06ff7173e6cbe2baf2978328e,"[8, 32, 32, 576]",False,False,True,,,"[79, 32, 32, 576]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E2\features,2026-09-19T04:15:55.185259+00:00
